PRB1	PRB2	PRP1	PRP2	PRPD1	PRPD2
TRINITY_DN253258_c0_g2	5.07672904672796	4.93932134733682	-5.22777058708647	-5.22777058708647	-0.553648954454079	0.993139734562246
TRINITY_DN247822_c0_g3	3.24873482362731	2.27568242247245	-3.85318833699267	-3.85318833699267	1.06567490028192	1.11628452760366
TRINITY_DN252885_c1_g2	2.52342770589158	2.53134815259936	-5.13213879351088	-5.13213879351088	2.16312505185309	3.04637667667772
TRINITY_DN250941_c2_g2	4.35910092715867	4.50377654139251	-5.83431354731042	-5.83431354731042	1.03851521222447	1.76723441384519
TRINITY_DN234793_c0_g2	4.07558949480853	3.02721740434194	-4.90788869839702	-4.90788869839702	0.951832430530949	1.76113806711261
TRINITY_DN238725_c0_g1	2.9534423691493	2.31852804645279	-3.56509276983288	-3.56509276983288	1.34179782577564	0.516417298288035
TRINITY_DN249412_c2_g7	2.99945486574078	1.79991944642142	-5.44762836046888	-5.44762836046888	2.2913420878113	3.80454032096426
TRINITY_DN247999_c0_g1	3.16112008068362	2.81738101741541	-4.01170742658947	-4.01170742658947	-0.103855354743508	2.14876910982342
TRINITY_DN251040_c0_g1	2.97191842989405	2.99515496091873	-3.28301568871244	-3.28301568871244	-0.109888255231783	0.708846241843883
TRINITY_DN246578_c0_g1	2.8688974589007	2.97157818432903	-3.61007434613224	-3.61007434613224	0.050991133674704	1.32868191536005
TRINITY_DN254346_c1_g1	2.69029484006048	2.60158031713043	-4.94044552054152	-4.94044552054152	1.81377391259362	2.77524197129851
TRINITY_DN254265_c1_g1	4.1893863272998	4.44077486686556	-2.75230689836157	-2.75230689836157	-0.986772151998589	-2.13877524544364
TRINITY_DN251033_c0_g3	3.0903239587245	2.57701323738533	-3.39751607509855	-3.39751607509855	-0.0120850379050288	1.13977999199229
TRINITY_DN190100_c0_g1	-2.62397987318232	-2.62397987318232	-2.62397987318232	-2.62397987318232	4.82252450538329	5.673394987346
TRINITY_DN252111_c0_g2	3.56854415380121	3.39279496335219	-3.0097907948804	-3.0097907948804	-0.636838696968567	-0.304918830424043
TRINITY_DN254011_c0_g1	3.2150364949664	3.33310312502515	-2.8374228741517	-2.8374228741517	-0.826643035398456	-0.046650836289698
TRINITY_DN247348_c29_g1	1.46830299818838	1.5507713195329	-6.93479616450458	-7.45936406717357	5.09075124022016	6.2843346737367
TRINITY_DN246832_c0_g1	3.48974037979862	3.09553210239439	-4.66927315601033	-4.66927315601033	0.889606697465111	1.86366713236254
TRINITY_DN253879_c0_g1	3.70082437204235	3.60594026244654	-3.24917737704115	-3.24917737704115	-1.36555656075548	0.557146680348881
TRINITY_DN251830_c0_g1	4.17194947467406	4.33028519074777	-3.12963817192913	-3.12963817192913	-1.33055086585512	-0.912407455708458
TRINITY_DN253717_c0_g1	3.44133970297074	3.690700881749	-3.62399564390729	-3.62399564390729	-1.06328068943281	1.17923139252764
TRINITY_DN254185_c0_g1	3.53815857945966	3.5882162179858	-4.19458546971277	-4.19458546971277	0.023420680571661	1.23937546140841
TRINITY_DN250561_c0_g1	3.49263958837074	2.74842568752197	-3.97976694797607	-3.97976694797607	0.329118109435689	1.38935051062374
TRINITY_DN250820_c1_g4	2.15976384104915	2.3899080605464	-4.21978781231634	-4.21978781231634	1.31657598007913	2.57332774295801
TRINITY_DN251338_c0_g1	3.46299566221976	2.92117900692779	-3.55147122104556	-3.55147122104556	0.270238993989118	0.448528778954444
TRINITY_DN253596_c1_g1	4.19418121658	3.92423297087673	-3.73590557902799	-3.73590557902799	-0.834797336013482	0.188194306612747
TRINITY_DN254480_c4_g4	3.294779609618	3.54111772657948	-3.82021200371559	-3.82021200371559	-0.125331810916401	0.9298584821501
TRINITY_DN251279_c1_g1	3.80981154172528	3.21393943068965	-4.04175012453097	-4.04175012453097	0.116910050815526	0.942839225831483
TRINITY_DN251173_c0_g1	3.03393713620519	2.86719496680269	-3.09905090642225	-3.09905090642225	-0.608480775976053	0.905450485812687
TRINITY_DN248951_c0_g1	5.35968164472237	4.50162956911852	-5.97078712186794	-5.97078712186794	0.53684897170266	1.54341405819233
TRINITY_DN245812_c0_g1	3.35733289224236	3.11358586327275	-3.01631531909233	-3.01631531909233	-1.62125251957475	1.1829644022443
TRINITY_DN253648_c0_g1	3.55691500461485	3.86137482530153	-4.29789105785915	-4.29789105785915	0.0440946893694694	1.13339759643245
TRINITY_DN241212_c0_g2	3.31746139131931	3.02618111390475	-4.44435575118783	-4.44435575118783	1.29872830436175	1.24634069278986
TRINITY_DN254383_c0_g2	1.83471965672246	2.28802280680844	-3.86294297674806	-3.86294297674806	1.17312071199563	2.43002277796959
TRINITY_DN251598_c0_g1	2.72289203482842	2.7309395160397	-4.34405820909621	-4.34405820909621	0.910309072344623	2.32397579497968
TRINITY_DN254102_c0_g1	4.13126924180189	4.27917062979809	-2.97065391881809	-2.97065391881809	-1.02954760787166	-1.43958442609214
TRINITY_DN252430_c26_g2	2.75651853773185	2.93200762823903	-4.53543489624451	-4.53543489624451	1.15330497176998	2.22903865474816
TRINITY_DN253027_c0_g2	-0.404428448498342	-0.483862915992747	-3.47481777638974	-3.47481777638974	3.22173252468883	4.61619439258174
TRINITY_DN249805_c0_g1	0.728747904912709	1.213358086546	-3.77714302481725	-3.77714302481725	2.05903359999198	3.55314645818381
TRINITY_DN112560_c0_g1	2.73606974570029	3.27834899358918	-4.2697793299964	-4.2697793299964	0.205305552952381	2.31983436775095
TRINITY_DN241912_c1_g1	-2.23672463948155	-2.23672463948155	-2.23672463948155	-2.23672463948155	3.89028950210126	5.05660905582492
TRINITY_DN207411_c0_g3	4.60833661764046	4.36303294356818	-4.22331898465896	-4.22331898465896	-0.443008885615584	-0.0817227062751416
TRINITY_DN250974_c0_g3	1.52545837675901	1.20778545198946	-4.01525088591242	-4.01525088591242	2.02673673573894	3.27052120733742
TRINITY_DN245670_c1_g1	3.96090760064724	3.31140029320188	-4.58080856274589	-4.58080856274589	0.584299422398642	1.30500980924402
TRINITY_DN235485_c1_g1	4.09349025432085	4.18009945790334	-2.06839742805605	-2.06839742805605	-2.06839742805605	-2.06839742805605
TRINITY_DN252861_c0_g3	3.31044054387059	3.81565133254554	-2.43075675470084	-2.43075675470084	-2.43075675470084	0.166178387686391
TRINITY_DN251410_c0_g1	2.61288379157225	2.46989921985214	-4.34375372610583	-4.34375372610583	1.02081870619002	2.58390573459726
TRINITY_DN245106_c0_g1	1.78053448594084	1.0763803397467	-3.71803552660341	-3.71803552660341	2.07299709015226	2.50615913736702
TRINITY_DN253011_c1_g1	3.09615558093358	3.19471008242478	-6.05546988275019	-6.05546988275019	2.37251333925105	3.44756076289097
TRINITY_DN249182_c0_g1	3.62545436268997	3.4602999571607	-3.09796767689503	-3.09796767689503	-0.76454394316984	-0.125275022890768
TRINITY_DN253009_c0_g1	3.17779817889802	3.21795530537001	-3.03943253732265	-3.03943253732265	-0.381792532114823	0.0649041224920888
TRINITY_DN253734_c0_g1	2.70716909561106	2.97513260098351	-3.1127544999496	-3.1127544999496	0.0794396653337408	0.463767637970899
TRINITY_DN251562_c1_g2	2.10935477624052	2.68617957183498	-3.52813954896579	-3.52813954896579	0.423261742708523	1.83748300714755
TRINITY_DN250845_c0_g1	3.56294440189014	3.10012243771925	-3.88115941633816	-3.88115941633816	-0.32044446186368	1.4196964549306
TRINITY_DN251506_c2_g2	-0.98397392444299	-0.260554862114732	-2.66654722179057	-2.66654722179057	3.0883402803729	3.48928294976596
TRINITY_DN234732_c0_g2	-2.60494851732296	-2.60494851732296	-2.60494851732296	-2.60494851732296	4.3454032447114	6.07439082458045
TRINITY_DN244339_c0_g2	-2.6472220053786	-0.442455254723984	-2.6472220053786	-2.6472220053786	3.41972823854603	4.96439303231375
TRINITY_DN233263_c2_g14	4.74514976126089	5.33716294733296	-3.68797661494555	-3.68797661494555	-3.68797661494555	0.981617136242787
TRINITY_DN253372_c1_g1	3.28140659011053	3.40885157855463	-3.15522167718232	-3.15522167718232	-0.685335700907852	0.305520886607328
TRINITY_DN241791_c0_g2	-3.03089826525325	-3.03089826525325	-1.78601120612971	-3.03089826525325	4.84874624399484	6.02995975789461
TRINITY_DN254174_c0_g1	4.24173135916239	4.03441255386805	-3.16859278364393	-3.16859278364393	-1.3286331961544	-0.610325149588192
TRINITY_DN249979_c0_g1	2.80231354686407	2.67973862419836	-3.75855422738079	-3.75855422738079	0.613701421065	1.42135486263415
TRINITY_DN253948_c0_g2	2.19269226066586	2.18313637184025	-3.72831553978636	-3.72831553978636	0.590724275776178	2.49007817129043
TRINITY_DN248808_c0_g3	3.6436512145916	3.78302418721992	-3.59895129133738	-3.59895129133738	-1.32692810227634	1.09815528313959
TRINITY_DN251231_c0_g1	0.176109375394166	1.22866782567234	-3.32469267766299	-3.32469267766299	2.35478742184246	2.88982073241702
TRINITY_DN230547_c0_g1	3.77854261511203	3.95216515201716	-1.9326769417823	-1.9326769417823	-1.9326769417823	-1.9326769417823
TRINITY_DN249412_c2_g8	4.3195605456624	4.16783488023434	-3.53281290391787	-3.53281290391787	-3.53281290391787	2.11104328585686
TRINITY_DN231063_c1_g4	7.33572490939208	7.24161950463467	-3.64433610350669	-3.64433610350669	-3.64433610350669	-3.64433610350669
TRINITY_DN198443_c0_g1	3.79668508584073	3.74710096907961	-3.79786346370963	-3.79786346370963	-0.951871693045052	1.00381256554396
TRINITY_DN252883_c0_g1	3.49726746565531	3.7131142197599	-3.75766665295117	-3.75766665295117	-1.07734229610716	1.38229391659428
TRINITY_DN253167_c0_g2	1.65845101911966	1.55680883664784	-4.11844254940242	-4.11844254940242	2.05887731709271	2.96274792594461
