GO_acc	term_type	Term	queryitem	querytotal	refitem	reftotal	pvalue	FDR	entries	entries_ref
GO:0006720	P	isoprenoid metabolic process	20	303	274	24469	6.6e-10	1.5e-07	// ZDS_SOLLC // BCH2_CAPAN // NES1_FRAVE // ABA4_ARATH // CCS_CITSI // GGPPS_CATRO // HMDH_NICSY // GGR_ARATH // ISPF_CATRO // ISPG_ARATH // LUPS_BETPL // PSY_CAPAN // PDS_SOLLC // NCPR1_ARTAN // ISPH_ARATH // ISPG_ORYSJ // DXR_MENPI // CCD4_ARATH // ZDS_TARER // LUT5_ARATH 	// CASS_KALDA // AL8A1_DANRE // CRTW_PARSN // GGPS_SULAC // ISPG_CAUVC // LCYB_TOBAC // ISPG_SALA4 // KO_SALMI // ISPG_BEII9 // 5EAS_CAPAN // FPPS2_ARATH // ISPH_PHOV8 // UGT11_PANGI // ISPH_XANC8 // GCDS_ORIVU // DXR_SALCH // DAD2_PETHY // KSL3_ISORU // LUT5_ARATH // GLT3_CROSA // CRTS2_ONCHC // KSB_SALMI // ASTE_ASPOR // STPS2_SALMI // PDS_SOLLC // PSY_CAPAN // TPS2_VALOF // ISPG_RENSM // ISPH_ORYSJ // BASM1_KALSE // ISPF_PSECP // TARI_VIBPA // ISPE_NOVAD // ISPH_PSYWF // ANTR2_ARATH // DXR_DESHY // RETST_DANRE // SQE2_PANGI // KSL1_ISOER // PSY_CUCME // SQS1_PANGI // KAO1_HORVU // CRTX_PSEVU // U71A2_PANGI // ISPA_ECOLI // IDI2_STAEQ // ISPD_RALSO // HMDH_RABIT // DXR_MENPI // G2OX1_PEA // PDS_NARPS // CCS_CITSI // DXR_ACIBC // CABS_TOBAC // LUT1_ARATH // ISPG_BACTN // OXSC_CUCPE // ISPD_ARATH // TPS3_VITAC // ISPE_NOCFA // GGPPS_GEOAI // FPPS1_LUPAL // NCED1_ORYSJ // BAMS1_PANGI // NCED1_SOLLC // ADH1B_HUMAN // G2OX2_PEA // CAS1_RICCO // NES1_FRAVE // IDI2_AROAE // ISPF_ACIB3 // TPS4_VITAC // ISPH_LEIXX // DXR_CUTAK // GGPPS_CAPAN // CRTY_PARSN // BCH2_ARATH // HMDH_CAMAC // G2OX8_ARATH // BCPSD_ORIVU // CARS_ARTAN // TPS2_CANOD // VDE_ARATH // ISPDF_OLEA2 // TPS2_VITAC // DXR_ORYSJ // GERS_OCIBA // TPS8_COFAR // TPS3_COFAR // MVD2_PANGI // TARS_KALDA // CRTE_PANAN // BAMS2_PANGI // C71A1_ZINZE // C71Z6_ORYSJ // IRIS_CATRO // DXR_ACIAD // NDX1_SOLLC // CRTP_STAA3 // STPS1_SALMI // PSY2_SOLLC // LIMC_RHOER // DNJ20_ARATH // ISPF_ACIAD // ISPH_PARDP // BDH1_SALOF // PHT44_ORYSJ // ISPH_CUTAK // ISPG_CHRVO // GEOA_CASDE // FPS_PANGI // TPS6_PHYDL // ISPA_MICLU // TPS6_VITAC // ISPE_CUTAK // ISPH_POLSJ // LCPS_SPORE // DXR_ACET2 // ADH1_EUPLT // NCPR2_ARTAN // TPS2_ANTMA // ISPG_CITK8 // C76BA_SWEMU // ISPG_ACIAD // PULR_MENPI // AL3A2_MOUSE // ALDH1_TANCI // T4149_TANPA // T13H_TAXCU // C7A52_PANGI // ATESY_VITVI // CRTI_PARSN // DXR_CHRVO // IDI2_STRP7 // ZDS_SOLLC // CRTY_PANAN // POED1_ARATH // RPE65_CHLAE // IPK_ARATH // ISPF_CATRO // ASCC_ACREG // ISPF_ECO24 // C7161_ARATH // ISPH_RUEST // ABA4_ARATH // NCPR1_ARTAN // CRTE_SYNP2 // BH093_ARATH // ZCIS_ARATH // C76M6_ORYSJ // EKS_MARVU // ISPG_PHOV8 // CYC2_CAMAC // BCH1_CAPAN // GGPPS_CATRO // IPIPR_MENPI // ISPDF_RHIWR // ISPT_BACTN // D27_ARATH // ISPA_GEOSE // CCD4_ARATH // HMGR1_PANGI // TPS1_CANSA // DXR_NITOC // KSL6_ISORU // CPS1_SALMI // ZDS_TARER // ISPG_ORYSJ // MYRS_QUEIL // TPS3_SOLLC // DXR_HALH5 // CCD8B_ORYSJ // ISPG_CLAM3 // ISPH_ALKOO // LCYB_CAPAN // CRTC_THIRO // BDH2_SALOF // HMDH1_HEVBR // C76H2_ROSOF // ISPH_ACIAD // ISPE_MENPI // KS1_ISOER // CRTE_PSEVU // ISPE_CORDI // GFPPS_MYCTU // C92C6_MAIZE // NPPPS_MYCTU // U74AE_PANGI // ISPH_XANAC // TPS7_PHYDL // GEOB_CASDE // ISPE_XANAC // SQHC_ALIAD // UGT6_CATRO // IDSA_METJA // LBTBC_DIESC // Y1546_METJA // THCAS_CANSA // LUPS_BETPL // GDS_OCIBA // GEAS_LAVPL // IDI_CUTAK // G3OX4_ARATH // DMD_SACS2 // DXR_LEIXX // CBDAS_CANSA // DADIS_PANGI // ISPH_PSYA2 // DXR_METCA // G2OX_PHACN // TOCC_ARATH // PNP1_ARATH // VDE_TOBAC // CRTN_STAHJ // LCYE_ARATH // BCDO1_HUMAN // C7A53_PANGI // ATESY_MAGGA // ISPH_SALPA // SQE1_PANGI // CRTI_SYNY4 // DXR_BACTN // PDS_ARATH // ISPE_AGRFC // HMDH2_HEVBR // GEAS_LAVST // HMDH_NICSY // TER_NICLA // LCD_LYCCL // ISPD_ACIBC // COP_ELETR // LUPS_GLYGL // DXR_PHOV8 // DXR_ZYMMO // TPSGD_VITVI // AAE1_CANSA // ISPA_HAEIN // ISPG_ARATH // FPPS2_LUPAL // TPS9_SOLHA // GFDPS_LEUCN // 5EAS2_NICAT // BCH2_CAPAN // TOCC_MAIZE // BCGS_ORIVU // BAMS_SOLLC // ISPH_METSB // ISPH_BRUA1 // UGT29_PANGI // CARS_LAVAN // UGT10_PANGI // ISPE_ACIB3 // CAS1_GLYGL // G3OX_PEA // TPS10_RICCO // ISPG_ZYMMO // C7D45_EUPLT // GGPPS_HEVBR // CRTQ_STAHJ // TPS4_CANOD // TPS1_ANTMA // CAMA_PSEPU // ISPG_PARDP // AMO_ARTAN // ISPG_CUTAK // BAMS_BETPL // ISPD_MENPI // ISPE_SALA4 // ISPD_CUTAK // ISPH_ARATH // CCD7_ARATH // ISPG_RHOBA // BCH_GENLU // GGR_ARATH 
GO:0015979	P	photosynthesis	16	303	187	24469	3.2e-09	3.6e-07	// TRL21_ARATH // FTRA1_ARATH // PSAB_JASNU // PSAA_SOLBU // IDI2_CAMAC // CRD1_GOSHI // YCF3_JASNU // PSBE_AMBTC // YCF3_LACSA // NU2C1_COFAR // RBL_JASNU // PSBJ_EUCGG // PSBQ_SPIOL // FENR2_PEA // YCF3_NANDO // PGL1A_ARATH 	// CHLI_TOBAC // PSAA_AGRST // PPD4_ARATH // PSBW_SPIOL // RBL_AEGCR // CRTD_RUBGE // PSBJ_ORYNI // NU1C_WHEAT // NU4LC_SOYBN // PUMP1_ARATH // PSAB_AGRST // PSA22_ORYSJ // RPI3_ARATH // BCHI_CHLP8 // PSBS_SOLSG // PSBB_SECCE // CB26_PETSP // PGL1A_ARATH // OTP51_ORYSJ // G3PB_TOBAC // SPA_SOLLC // PSBO_SOLLC // NDHH_ARAHI // PSBP_PEA // ALF2_CERSP // BCHX_RHOCB // PSBQ_SPIOL // PNSB1_ARATH // YCF3_ACOAM // IDI1_CAMAC // PORC_ARATH // PORA_CUCSA // YCF3_JASNU // PSAF_FLATR // PSAJ_PHAVU // NU2C1_COFAR // PSAL_ARATH // RSH3C_ARATH // BCHB_METRJ // CHLD_ARATH // PSAD_NICSY // PETM_SPIOL // CHLD_ORYSI // PSBY_SPIOL // YCF3_LACSA // G3PB_PEA // PSBD_ORYNI // PSAI_JASNU // RBS3_SOLLC // PETD_ACOCL // PETN_ACOCL // NU1C_TOBAC // TAAC_ARATH // PGKH_SPIOL // WTF1_ORYSJ // PSAF_ARATH // FENR1_TOBAC // PSBF_ACOCL // TPIC_SPIOL // CB121_HORVU // PNSL1_ARATH // PSAF_HORVU // G3PA_TOBAC // PSAD_CUCSA // PSAK_ARATH // HMA6_ARATH // PSBO_TOBAC // PSB28_ORYSJ // IDI2_CAMAC // NDHH_PHAVU // NDHK_BUXMI // PSBR_TOBAC // NIFU3_ARATH // FENR2_TOBAC // PPD6_ARATH // PPD1_ARATH // FTRA2_ARATH // PNSL2_ARATH // PPD5_ARATH // YCF4_PHAVU // BCHP_RHOCB // PSBB_COFAR // CRTJ_RHOCA // PSAH1_ARATH // PSAN_ARATH // TKTC_SOLTU // CHLH_ARATH // WTF1_ARATH // CYF_PHAVU // TRL21_ARATH // FTRA1_ARATH // FENR3_ORYSJ // PSBW_ARATH // PSAH_BRACM // PETD_LIRTU // PAM68_ARATH // POR_DAUCA // PSBT_HELAN // FENR2_PEA // YCF3_NANDO // CHLD_PEA // STT7_ARATH // CHLI_OLILU // TL16_ARATH // KPPR_MESCR // TKTP_CUPNH // PSAB_PHAVU // PSBE_AMBTC // PSAA_ACOCL // RBS_HEVBR // CB2D_SOLLC // PGKH_TOBAC // PAM71_ARATH // CSK_ARATH // F16A1_METPP // PSBI_ACOAM // U603_ARATH // STR4_ARATH // PNSB3_ARATH // CB24_PEA // NDHH_DAUCA // PSBB_CYCTA // POR_PEA // G3PC_CUPNH // RBL_JASNU // CYNT_SYNE7 // PSBB_LEMMI // FK202_ARATH // PPD3_ARATH // RBS_MUSAC // PB27B_ARATH // PSA3_MAIZE // PSAB_GLOVI // PSAE_SPIOL // TKT_SINMW // CYC6_ARATH // PSAA_SOLBU // PSA3C_ARATH // PYG7_ARATH // PSAH_SPIOL // PSAO_ARATH // S17P_SPIOL // LPA1_ARATH // CB21_CUCSA // RBL_HYOLA // HMOX2_ARATH // CB22_CUCSA // PSBB_CARPA // PSBP2_ARATH // CYCR_THETI // FRO7_ARATH // RPE_RHOCA // PSBP1_TOBAC // LTO1_ARATH // TL19_ARATH // NDHS_ARATH // CHLD_TOBAC // PSAB_ACOCL // NDHL_ARATH // BCHD_CHLP8 // PSBQ2_ARATH // HMA8_ARATH // RPE_RHORU // PST2_PETHY // CHLI_MESVI // PNSB4_ARATH // F16P1_ORYSI // CUT1B_ARATH // NU4LC_GOSBA // PSAC_ARAHI // PPL1_ARATH // VCCN2_ARATH // CRD1_GOSHI // PETD_GRATL // HC244_ARATH // NU4LC_PHAVU // NU2C1_OENBI // Y1314_DEIRA // PSAD_SOLLC // PSBO_FRIAG // F16P1_BRANA // PSAB_JASNU // PSBJ_EUCGG // PSBP1_ARATH // CP123_ARATH // PPD7_ARATH // BCHL_METPB 
GO:0008299	P	isoprenoid biosynthetic process	18	303	248	24469	4.9e-09	3.7e-07	// ZDS_SOLLC // BCH2_CAPAN // NES1_FRAVE // CCS_CITSI // GGPPS_CATRO // HMDH_NICSY // GGR_ARATH // ISPF_CATRO // LUPS_BETPL // PSY_CAPAN // PDS_SOLLC // NCPR1_ARTAN // ISPH_ARATH // ISPG_ORYSJ // ISPG_ARATH // DXR_MENPI // ZDS_TARER // LUT5_ARATH 	// CASS_KALDA // CRTW_PARSN // GGPS_SULAC // ISPG_CAUVC // LCYB_TOBAC // ISPG_SALA4 // KO_SALMI // ISPG_BEII9 // 5EAS_CAPAN // FPPS2_ARATH // ISPH_PHOV8 // UGT11_PANGI // ISPH_XANC8 // GCDS_ORIVU // DXR_SALCH // ISPF_PSECP // KSL3_ISORU // LUT5_ARATH // GLT3_CROSA // CRTS2_ONCHC // KSB_SALMI // ASTE_ASPOR // STPS2_SALMI // PDS_SOLLC // PSY_CAPAN // TPS2_VALOF // ISPG_RENSM // ISPH_ORYSJ // BASM1_KALSE // TARI_VIBPA // ISPE_NOVAD // ISPH_PSYWF // DXR_DESHY // SQE2_PANGI // KSL1_ISOER // PSY_CUCME // SQS1_PANGI // KAO1_HORVU // CRTX_PSEVU // U71A2_PANGI // ISPA_ECOLI // IDI2_STAEQ // ISPD_RALSO // HMDH_RABIT // DXR_MENPI // G2OX1_PEA // PDS_NARPS // CCS_CITSI // DXR_ACIBC // CABS_TOBAC // LUT1_ARATH // ISPG_BACTN // OXSC_CUCPE // ISPD_ARATH // TPS3_VITAC // ISPE_NOCFA // GGPPS_GEOAI // FPPS1_LUPAL // BAMS1_PANGI // NCED1_SOLLC // G2OX2_PEA // CAS1_RICCO // NES1_FRAVE // IDI2_AROAE // ISPF_ACIB3 // TPS4_VITAC // ISPH_LEIXX // DXR_CUTAK // CRTY_PARSN // BCH2_ARATH // HMDH_CAMAC // BCPSD_ORIVU // CARS_ARTAN // TPS2_CANOD // ISPDF_OLEA2 // TPS2_VITAC // DXR_ORYSJ // GGR_ARATH // TPS8_COFAR // MVD2_PANGI // TARS_KALDA // CRTE_PANAN // BAMS2_PANGI // C71A1_ZINZE // C71Z6_ORYSJ // IRIS_CATRO // DXR_ACIAD // NDX1_SOLLC // CRTP_STAA3 // STPS1_SALMI // PSY2_SOLLC // DNJ20_ARATH // ISPF_ACIAD // ISPH_PARDP // BDH1_SALOF // PDS_ARATH // ISPH_CUTAK // ISPG_CHRVO // FPS_PANGI // ISPA_MICLU // TPS6_VITAC // ISPE_CUTAK // ISPH_POLSJ // TPS3_SOLLC // DXR_ACET2 // ADH1_EUPLT // NCPR2_ARTAN // TPS2_ANTMA // ISPG_CITK8 // C76BA_SWEMU // ISPG_ACIAD // PULR_MENPI // CRTI_SYNY4 // ALDH1_TANCI // T4149_TANPA // T13H_TAXCU // C7A52_PANGI // ATESY_VITVI // CRTI_PARSN // DXR_CHRVO // IDI2_STRP7 // ZDS_SOLLC // CRTY_PANAN // RPE65_CHLAE // IPK_ARATH // ISPF_CATRO // ASCC_ACREG // ISPF_ECO24 // ISPH_RUEST // NCPR1_ARTAN // CRTE_SYNP2 // BH093_ARATH // ZCIS_ARATH // C76M6_ORYSJ // EKS_MARVU // ISPG_PHOV8 // CYC2_CAMAC // BCH1_CAPAN // GGPPS_CATRO // ISPDF_RHIWR // D27_ARATH // ISPA_GEOSE // HMGR1_PANGI // TPS1_CANSA // CRTC_THIRO // KSL6_ISORU // CPS1_SALMI // ZDS_TARER // ISPG_ORYSJ // MYRS_QUEIL // LCPS_SPORE // DXR_HALH5 // CCD8B_ORYSJ // ISPG_CLAM3 // ISPH_ALKOO // LCYB_CAPAN // BDH2_SALOF // HMDH1_HEVBR // C76H2_ROSOF // ISPH_ACIAD // ISPE_MENPI // KS1_ISOER // CRTE_PSEVU // ISPE_CORDI // GFPPS_MYCTU // C92C6_MAIZE // NPPPS_MYCTU // U74AE_PANGI // ISPH_XANAC // ISPE_XANAC // SQHC_ALIAD // UGT6_CATRO // IDSA_METJA // LBTBC_DIESC // Y1546_METJA // THCAS_CANSA // LUPS_BETPL // GEAS_LAVPL // IDI_CUTAK // G3OX4_ARATH // DMD_SACS2 // DXR_LEIXX // CBDAS_CANSA // DADIS_PANGI // ISPH_PSYA2 // DXR_METCA // G2OX_PHACN // DXR_NITOC // PNP1_ARATH // LCYE_ARATH // BCDO1_HUMAN // C7A53_PANGI // ATESY_MAGGA // ISPH_SALPA // SQE1_PANGI // DXR_BACTN // ISPT_BACTN // ISPE_AGRFC // HMDH2_HEVBR // GEAS_LAVST // HMDH_NICSY // TER_NICLA // LCD_LYCCL // ISPD_ACIBC // COP_ELETR // LUPS_GLYGL // DXR_PHOV8 // DXR_ZYMMO // TPSGD_VITVI // AAE1_CANSA // ISPA_HAEIN // ISPG_ARATH // FPPS2_LUPAL // TPS9_SOLHA // GFDPS_LEUCN // 5EAS2_NICAT // BCH2_CAPAN // DAD2_PETHY // BCGS_ORIVU // BAMS_SOLLC // ISPH_METSB // ISPH_BRUA1 // UGT29_PANGI // CARS_LAVAN // UGT10_PANGI // ISPE_ACIB3 // CAS1_GLYGL // G3OX_PEA // TPS10_RICCO // ISPG_ZYMMO // C7D45_EUPLT // GGPPS_HEVBR // CRTQ_STAHJ // TPS4_CANOD // TPS1_ANTMA // GDS_OCIBA // ISPG_PARDP // AMO_ARTAN // ISPG_CUTAK // BAMS_BETPL // ISPD_MENPI // ISPE_SALA4 // ISPD_CUTAK // ISPH_ARATH // CCD7_ARATH // ISPG_RHOBA // BCH_GENLU // CRTN_STAHJ 
GO:0010411	P	xyloglucan metabolic process	7	303	38	24469	4.4e-07	2.5e-05	// XTH33_ARATH // XTH29_ARATH // XTH28_ARATH // XTH23_ARATH // XTH30_ARATH // XTH15_ARATH // XTH1_DIOKA 	// XTH22_ARATH // XTH29_ARATH // XTH31_ARATH // XTH6_DIOKA // XXT2_ARATH // XTH6_ARATH // FUT3_ARATH // MUR3_ARATH // XTH15_ARATH // RWA1_ARATH // RWA4_ARATH // RWA3_ARATH // XTH33_ARATH // GH43B_BACO1 // BGH3B_BACO1 // TBL22_ARATH // XTH32_ARATH // XTH1_DIOKA // BGH3A_BACO1 // GT18_ARATH // XTH34_POPPZ // XYL1_ARATH // GH43A_BACO1 // XTH8_ARATH // XTH26_ARATH // BGH2A_BACO1 // XTH7_ARATH // XTH23_ARATH // XXT5_ARATH // BGH9A_BACO1 // AFCA_EMENI // XTH24_ARATH // XTH28_ARATH // TBL14_ARATH // XTH25_ARATH // XTH30_ARATH // RWA2_ARATH // XTH10_ARATH 
GO:0016108	P	tetraterpenoid metabolic process	7	303	42	24469	8.9e-07	2.9e-05	// BCH2_CAPAN // ABA4_ARATH // LUT5_ARATH // PSY_CAPAN // PDS_SOLLC // ZDS_TARER // CCS_CITSI 	// CRTY_PANAN // ABA4_ARATH // CRTW_PARSN // RPE65_CHLAE // PNP1_ARATH // VDE_TOBAC // CRTY_PARSN // LCYE_ARATH // BCH2_ARATH // LBTBC_DIESC // VDE_ARATH // PDS_ARATH // LUT5_ARATH // BCH1_CAPAN // GLT3_CROSA // CRTS2_ONCHC // CRTN_STAHJ // PSY_CAPAN // PDS_SOLLC // CRTC_THIRO // NDX1_SOLLC // CRTP_STAA3 // CRTX_PSEVU // PSY2_SOLLC // ZDS_TARER // BCH2_CAPAN // LCYB_TOBAC // LCYB_CAPAN // PSY_CUCME // ANTR2_ARATH // LCPS_SPORE // CRTQ_STAHJ // PDS_NARPS // CCS_CITSI // BCH_GENLU // PHT44_ORYSJ // TOCC_ARATH // CRTI_SYNY4 // TOCC_MAIZE // LUT1_ARATH // NCED1_SOLLC // CRTI_PARSN 
GO:0016116	P	carotenoid metabolic process	7	303	42	24469	8.9e-07	2.9e-05	// BCH2_CAPAN // ABA4_ARATH // LUT5_ARATH // PSY_CAPAN // PDS_SOLLC // ZDS_TARER // CCS_CITSI 	// CRTY_PANAN // ABA4_ARATH // CRTW_PARSN // RPE65_CHLAE // PNP1_ARATH // VDE_TOBAC // CRTY_PARSN // LCYE_ARATH // BCH2_ARATH // LBTBC_DIESC // VDE_ARATH // PDS_ARATH // LUT5_ARATH // BCH1_CAPAN // GLT3_CROSA // CRTS2_ONCHC // CRTN_STAHJ // PSY_CAPAN // PDS_SOLLC // CRTC_THIRO // NDX1_SOLLC // CRTP_STAA3 // CRTX_PSEVU // PSY2_SOLLC // ZDS_TARER // BCH2_CAPAN // LCYB_TOBAC // LCYB_CAPAN // PSY_CUCME // ANTR2_ARATH // LCPS_SPORE // CRTQ_STAHJ // PDS_NARPS // CCS_CITSI // BCH_GENLU // PHT44_ORYSJ // TOCC_ARATH // CRTI_SYNY4 // TOCC_MAIZE // LUT1_ARATH // NCED1_SOLLC // CRTI_PARSN 
GO:0008215	P	spermine metabolic process	5	303	15	24469	8.3e-07	2.9e-05	// DCAM_NICSY // DCAM_IPONI // PAO3_ARATH // DCAM_CATRO // PAO2_ARATH 	// DCAM_DAUCA // DCAM_IPONI // PAO4_ARATH // PAO2_ARATH // SPSY_BOVIN // DCAM4_ARATH // ATDA_WIGBR // SPSY_ARATH // DCAM_SOLTU // PAO3_ARATH // DCAM_CATRO // PAO1_ARATH // DCAM_NICSY // GLNA3_STRCO // GLNA2_STRCO 
GO:0016109	P	tetraterpenoid biosynthetic process	6	303	35	24469	4.6e-06	0.00012	// BCH2_CAPAN // LUT5_ARATH // PSY_CAPAN // PDS_SOLLC // ZDS_TARER // CCS_CITSI 	// CRTY_PANAN // CRTW_PARSN // RPE65_CHLAE // PNP1_ARATH // CRTY_PARSN // LCYE_ARATH // BCH2_ARATH // LBTBC_DIESC // NCED1_SOLLC // PDS_ARATH // LUT5_ARATH // BCH1_CAPAN // GLT3_CROSA // CRTS2_ONCHC // CRTN_STAHJ // PSY_CAPAN // PDS_SOLLC // CRTC_THIRO // NDX1_SOLLC // CRTP_STAA3 // CRTX_PSEVU // PSY2_SOLLC // ZDS_TARER // BCH2_CAPAN // LCYB_TOBAC // LCYB_CAPAN // PSY_CUCME // LCPS_SPORE // CRTQ_STAHJ // PDS_NARPS // CCS_CITSI // LUT1_ARATH // CRTI_SYNY4 // BCH_GENLU // CRTI_PARSN 
GO:0016117	P	carotenoid biosynthetic process	6	303	35	24469	4.6e-06	0.00012	// BCH2_CAPAN // LUT5_ARATH // PSY_CAPAN // PDS_SOLLC // ZDS_TARER // CCS_CITSI 	// CRTY_PANAN // CRTW_PARSN // RPE65_CHLAE // PNP1_ARATH // CRTY_PARSN // LCYE_ARATH // BCH2_ARATH // LBTBC_DIESC // NCED1_SOLLC // PDS_ARATH // LUT5_ARATH // BCH1_CAPAN // GLT3_CROSA // CRTS2_ONCHC // CRTN_STAHJ // PSY_CAPAN // PDS_SOLLC // CRTC_THIRO // NDX1_SOLLC // CRTP_STAA3 // CRTX_PSEVU // PSY2_SOLLC // ZDS_TARER // BCH2_CAPAN // LCYB_TOBAC // LCYB_CAPAN // PSY_CUCME // LCPS_SPORE // CRTQ_STAHJ // PDS_NARPS // CCS_CITSI // LUT1_ARATH // CRTI_SYNY4 // BCH_GENLU // CRTI_PARSN 
GO:0006721	P	terpenoid metabolic process	13	303	228	24469	8.4e-06	0.00019	// BCH2_CAPAN // NES1_FRAVE // ABA4_ARATH // LUT5_ARATH // GGPPS_CATRO // ISPF_CATRO // LUPS_BETPL // PSY_CAPAN // PDS_SOLLC // ISPG_ARATH // ISPG_ORYSJ // ZDS_TARER // CCS_CITSI 	// CASS_KALDA // AL8A1_DANRE // CRTW_PARSN // GGPS_SULAC // ISPG_CAUVC // LCYB_TOBAC // ISPG_SALA4 // KO_SALMI // ISPG_BEII9 // 5EAS_CAPAN // FPPS2_ARATH // ISPH_PHOV8 // UGT11_PANGI // ISPH_XANC8 // GCDS_ORIVU // DXR_SALCH // DAD2_PETHY // KSL3_ISORU // LUT5_ARATH // GLT3_CROSA // CRTS2_ONCHC // KSB_SALMI // ASTE_ASPOR // STPS2_SALMI // PDS_SOLLC // PSY_CAPAN // TPS2_VALOF // ISPE_NOVAD // ISPH_PSYWF // DXR_DESHY // RETST_DANRE // KSL1_ISOER // PSY_CUCME // SQS1_PANGI // KAO1_HORVU // CRTX_PSEVU // U71A2_PANGI // ISPA_ECOLI // ISPD_RALSO // BASM1_KALSE // ANTR2_ARATH // G2OX1_PEA // PDS_NARPS // CCS_CITSI // DXR_ACIBC // PULR_MENPI // LUT1_ARATH // ISPG_BACTN // OXSC_CUCPE // TPS3_VITAC // ISPE_NOCFA // GGPPS_GEOAI // TPS6_VITAC // BAMS1_PANGI // NCED1_SOLLC // TOCC_ARATH // G2OX2_PEA // CAS1_RICCO // NES1_FRAVE // ABA4_ARATH // ISPF_ACIB3 // TPS4_VITAC // ISPH_LEIXX // DXR_CUTAK // CRTY_PARSN // BCH2_ARATH // G2OX8_ARATH // BCPSD_ORIVU // TPS2_CANOD // VDE_ARATH // ISPDF_OLEA2 // TPS2_VITAC // DXR_ORYSJ // GERS_OCIBA // TPS8_COFAR // TPS3_COFAR // MVD2_PANGI // TARS_KALDA // CRTE_PANAN // BAMS2_PANGI // ISPG_RENSM // C71Z6_ORYSJ // IRIS_CATRO // DXR_ACIAD // NDX1_SOLLC // CRTP_STAA3 // STPS1_SALMI // PSY2_SOLLC // ISPF_ACIAD // ISPH_PARDP // BDH1_SALOF // PHT44_ORYSJ // ISPH_CUTAK // ISPG_CHRVO // GEOA_CASDE // FPS_PANGI // TPS6_PHYDL // ISPE_CUTAK // ISPH_POLSJ // TPS3_SOLLC // DXR_ACET2 // ISPD_MENPI // TPS2_ANTMA // ISPG_CITK8 // C76BA_SWEMU // ISPG_ACIAD // ADH1B_HUMAN // AL3A2_MOUSE // TOCC_MAIZE // T13H_TAXCU // C7A52_PANGI // ATESY_VITVI // CRTI_PARSN // DXR_CHRVO // CRTY_PANAN // RPE65_CHLAE // IPK_ARATH // ISPF_CATRO // ASCC_ACREG // ISPF_ECO24 // C7161_ARATH // ISPH_RUEST // FPPS1_LUPAL // CRTE_SYNP2 // BH093_ARATH // C76M6_ORYSJ // EKS_MARVU // ISPG_PHOV8 // BCH1_CAPAN // GGPPS_CATRO // ISPDF_RHIWR // D27_ARATH // HMGR1_PANGI // TPS1_CANSA // CRTC_THIRO // KSL6_ISORU // CPS1_SALMI // ZDS_TARER // ISPG_ORYSJ // MYRS_QUEIL // LCPS_SPORE // DXR_HALH5 // CCD8B_ORYSJ // ISPG_CLAM3 // ISPH_ALKOO // LCYB_CAPAN // BDH2_SALOF // C76H2_ROSOF // ISPH_ACIAD // ISPE_MENPI // KS1_ISOER // CRTE_PSEVU // ISPE_CORDI // C92C6_MAIZE // U74AE_PANGI // ISPH_XANAC // TPS7_PHYDL // GEOB_CASDE // ISPE_XANAC // UGT6_CATRO // LBTBC_DIESC // Y1546_METJA // THCAS_CANSA // LUPS_BETPL // GDS_OCIBA // G3OX4_ARATH // ADH1_EUPLT // DXR_LEIXX // CBDAS_CANSA // DADIS_PANGI // ISPH_PSYA2 // DXR_METCA // DXR_NITOC // PNP1_ARATH // VDE_TOBAC // LCYE_ARATH // BCDO1_HUMAN // CABS_TOBAC // ISPH_SALPA // CRTI_SYNY4 // DXR_BACTN // PDS_ARATH // ISPE_AGRFC // C7A53_PANGI // SQHC_ALIAD // TER_NICLA // LCD_LYCCL // ISPD_ACIBC // LUPS_GLYGL // DXR_PHOV8 // DXR_ZYMMO // TPSGD_VITVI // AAE1_CANSA // G2OX_PHACN // ISPG_ARATH // FPPS2_LUPAL // TPS9_SOLHA // GFDPS_LEUCN // 5EAS2_NICAT // BCH2_CAPAN // T4149_TANPA // BCGS_ORIVU // BAMS_SOLLC // ISPH_METSB // ISPH_BRUA1 // UGT29_PANGI // CARS_LAVAN // UGT10_PANGI // ISPE_ACIB3 // CAS1_GLYGL // G3OX_PEA // GGPPS_HEVBR // ISPG_ZYMMO // C7D45_EUPLT // CRTQ_STAHJ // TPS4_CANOD // TPS1_ANTMA // CAMA_PSEPU // ISPG_PARDP // ISPF_PSECP // ISPG_CUTAK // BAMS_BETPL // ISPE_SALA4 // ISPD_CUTAK // CCD7_ARATH // ISPG_RHOBA // BCH_GENLU // CRTN_STAHJ 
