PRB1	PRB2	PRP1	PRP2	PRPD1	PRPD2
TRINITY_DN101126_c11_g1	0	12.1790150687308	0	1.76546054690234	0	9.11803662438456
TRINITY_DN101126_c4_g1	0.641649531224787	11.6832108728114	1.16337466513991	0.645084988384124	0.56634131596434	7.43947381079509
TRINITY_DN103655_c1_g1	6.00608112379204	6.31915782638492	0.467977247232475	0	4.39420671613751	5.66075623847379
TRINITY_DN103764_c2_g5	0	1.2393773724514	0	2.64541572566669	1.10405889555991	1.60767078938838
TRINITY_DN104338_c0_g2	2.17231193157769	2.42609570146783	1.10891122563023	1.91313578993611	1.64794179930484	1.68221316254586
TRINITY_DN105914_c0_g3	2.12338438812177	2.009356781353	1.95555357088658	1.5548311462867	1.77740227741782	1.04068303145287
TRINITY_DN109103_c0_g1	5.99711781177867	4.73130792608508	1.69781836315263	0.798670584640421	0	0
TRINITY_DN109103_c0_g2	0	0	1.69781836315263	0.798670584640421	2.55107716017921	2.85514711394424
TRINITY_DN115619_c0_g2	2.05287093974059	2.45868529354241	2.08650276084779	1.97266856230506	1.76232472943449	2.27760353609894
TRINITY_DN115950_c0_g1	1.94569238894112	2.7915079345578	0.874563430206523	1.99197914223488	1.88853439532617	1.87172760709086
TRINITY_DN120107_c0_g1	1.96404522520507	2.8658379841188	2.76605337649943	1.75540639779967	2.49007209520396	1.41695627881281
TRINITY_DN122459_c0_g1	1.05516180526325	1.00789203125662	0	0	2.92835041697731	4.10230650035236
TRINITY_DN123766_c1_g2	2.38929206122337	1.97734121753068	3.1492666284783	1.84004558708473	1.50955604851296	1.63518667265854
TRINITY_DN123766_c1_g3	5.28025047455639	5.04534340641793	5.61556674735506	4.56483747172726	4.23925087722682	4.37517016459301
TRINITY_DN126311_c0_g1	2.06020127703823	1.86548359020971	2.69551499781802	1.59957898917608	2.47892962880578	0.885062394173958
TRINITY_DN127683_c0_g1	0	0	0	0	2.50035598747676	3.13771031807187
TRINITY_DN127683_c0_g2	0	0.165606857495147	1.0317918966242	0.52617862088554	4.35646601252408	4.31211396887111
TRINITY_DN131766_c0_g1	2.7817930536955	2.3107067797979	0	0	2.69300745782721	3.71442892716483
TRINITY_DN135186_c0_g1	3.86580975031764	4.27272773925701	0	0.529014242678811	1.24596328206903	2.13276513160583
TRINITY_DN138120_c0_g1	2.87549330460894	1.60421451160656	2.01643427243663	2.54369800431251	2.17342779935225	3.01530590446262
TRINITY_DN140788_c0_g1	4.86873412435065	4.73479398557437	0	0	0.571503718980975	1.57263058278787
TRINITY_DN144426_c0_g1	6.08144035178383	5.00239688580884	5.73623154663837	3.80094133146799	4.61353569237588	3.79986124045795
TRINITY_DN145991_c0_g1	2.80646088842127	3.16890964511043	0	0	0	0
TRINITY_DN146065_c0_g1	0.11709017503083	0	0	0.133928355993108	6.13131720592627	6.83896151215597
TRINITY_DN1470_c0_g1	3.99286383504303	2.92218180775878	0	0	0.28856437601505	0.850806756052019
TRINITY_DN150019_c0_g2	1.51423418123233	1.95445722728713	1.49852821796633	1.2207742601762	0.989715118043922	1.36733402204235
TRINITY_DN150657_c0_g1	2.48075108734456	1.61992003559199	3.52500599420728	1.97613589148037	2.03746916981626	1.39335049404414
TRINITY_DN152072_c0_g1	4.87428972126789	4.4401721448427	0	0.0613535847874907	1.54372911778142	2.45078891649353
TRINITY_DN152222_c0_g1	3.47625000444137	3.33643064547295	0.806739518338175	0.305807488528701	1.01537840764551	1.3653131866694
TRINITY_DN152222_c0_g2	3.47625000444137	3.33643064547295	0.806739518338175	0.305807488528701	1.01537840764551	1.3653131866694
TRINITY_DN153534_c1_g1	1.26214353500291	1.4375828493099	0.828712724925932	3.48736752141899	0.574445390859828	1.54700666932092
TRINITY_DN154861_c0_g2	1.6961931439391	1.93986031327037	2.98264872176491	1.74039647440317	1.60435184010568	0.628732233089255
TRINITY_DN15489_c0_g2	4.9522569219811	3.30679064982564	4.91957002311189	2.43803742024318	4.69777009851889	3.62815407191363
TRINITY_DN155314_c0_g1	6.73303149600827	6.16609792979869	6.98413419724792	5.43467715615419	6.43311119217755	5.84363733302329
TRINITY_DN155614_c0_g1	6.13571892255145	5.19480022581554	0	0	2.82422645984898	3.28020131263061
TRINITY_DN155614_c0_g2	4.85223108302765	3.20884869338263	0.691554314571067	0	1.18375501797621	1.7111432373676
TRINITY_DN156148_c0_g1	2.42978479513733	2.09438807330194	2.2412190829426	1.69061234864966	1.73957258620127	2.31237124796106
TRINITY_DN156254_c0_g1	2.97709563337446	0.516340329255593	2.76527675724618	0	3.42079241914678	1.49250130465245
TRINITY_DN156254_c0_g3	3.08284833530587	1.31252083142414	3.24373363322257	1.78733608896251	2.5186078929948	1.79835704595216
TRINITY_DN156254_c0_g4	2.981392175084	1.37257544722424	1.88056082088277	0.90436404953726	1.11167278815214	0.576409613472416
TRINITY_DN156254_c0_g5	2.75066770338704	1.57450618918746	2.88593383521347	1.79873828132986	2.27366280750158	1.15212974574779
TRINITY_DN156380_c0_g1	2.86947880438361	3.06096663664542	3.44077485840704	2.60141508619223	2.88798242782211	2.286174067131
TRINITY_DN156380_c0_g2	5.07075907015721	4.01732048360133	0	0	2.97654254200933	3.16947180514114
TRINITY_DN156828_c1_g6	3.34935700537001	3.66338359840139	2.82164632187525	3.10273775126067	2.71300032483545	3.33969207869842
TRINITY_DN157137_c0_g1	2.1108887631258	0.917000387237585	2.24753532494226	1.2054939901199	1.37599457603373	0.989121450611697
TRINITY_DN157171_c0_g1	2.3217715409081	3.06275093849476	0	0	0	1.39235848787305
TRINITY_DN157186_c1_g1	2.06709034067371	2.22831213623931	1.822513184917	1.09820729718792	1.94332427498127	0
TRINITY_DN157186_c1_g10	2.01648759267015	1.62797698548982	2.31878092723372	0.89633416113596	2.04650142549923	2.14430168592431
TRINITY_DN157186_c1_g3	1.60502078156059	1.02344958461386	2.44570842798266	0.343880491196105	1.6054308306863	1.21967966234833
TRINITY_DN157186_c1_g6	3.0985578073627	2.48878636753997	3.37272219194431	2.36241916235402	1.9903387534834	1.44927324326609
TRINITY_DN157186_c1_g9	3.47320236150347	2.93544368486104	3.90738932293802	2.78123891762761	2.8878346294167	2.85100099091388
TRINITY_DN157492_c0_g1	3.01677740971934	3.20130887081857	0	0	0.740795844780149	1.4929641309663
TRINITY_DN157621_c1_g3	1.92442779216475	1.94029174899195	1.43808855611485	1.15254129232538	1.73957258620127	0.502944124690995
TRINITY_DN158314_c0_g2	0.548584683466657	0.108399718800699	0.578208629831506	0.396584570377592	2.77680610172534	2.33758591758418
TRINITY_DN158839_c1_g3	2.14346174226441	1.93899705457362	2.09559328305276	1.60227408214711	1.33017369309466	1.46398437944187
TRINITY_DN158916_c0_g4	2.09194002357127	1.3789549999078	1.51463762253312	2.20524962002605	1.22318269524141	1.29433327532357
TRINITY_DN159792_c0_g2	1.82082561718443	1.25749456920443	2.43663174974203	1.44451671716706	1.31001870306307	1.38937837012364
TRINITY_DN159857_c0_g1	5.48532248170738	6.21839453848205	3.85797991740007	5.25409578369232	5.01608745704395	4.95115782925599
TRINITY_DN159857_c0_g2	7.91741808990739	8.63039849831657	6.38912787259968	7.54316744404544	7.47667848363247	7.42928552820087
TRINITY_DN160709_c0_g1	2.39252201383574	2.79604400964208	0	0	0.698277239011564	0.735849511226731
