tau	PRB	PRP	PRPD
TRINITY_DN101012_c0_g1	1	1	0	0
TRINITY_DN103764_c2_g402	1	1	0	0
TRINITY_DN103764_c2_g599	1	1	0	0
TRINITY_DN103764_c2_g98	1	1	0	0
TRINITY_DN105093_c0_g1	1	1	0	0
TRINITY_DN110101_c0_g1	1	1	0	0
TRINITY_DN112045_c0_g1	1	1	0	0
TRINITY_DN112803_c0_g1	1	1	0	0
TRINITY_DN117959_c0_g1	1	1	0	0
TRINITY_DN119739_c0_g1	1	1	0	0
TRINITY_DN121014_c0_g2	1	1	0	0
TRINITY_DN125344_c0_g1	1	1	0	0
TRINITY_DN126426_c0_g1	1	1	0	0
TRINITY_DN133417_c0_g1	1	1	0	0
TRINITY_DN135635_c0_g1	1	1	0	0
TRINITY_DN145031_c0_g2	1	1	0	0
TRINITY_DN145991_c0_g1	1	1	0	0
TRINITY_DN146435_c0_g1	1	1	0	0
TRINITY_DN146995_c0_g1	1	1	0	0
TRINITY_DN1470_c0_g1	1	1	0	0
TRINITY_DN14832_c0_g1	1	1	0	0
TRINITY_DN149883_c0_g2	1	1	0	0
TRINITY_DN150110_c0_g1	1	1	0	0
TRINITY_DN15035_c0_g2	1	1	0	0
TRINITY_DN152360_c0_g1	1	1	0	0
TRINITY_DN153555_c0_g3	1	1	0	0
TRINITY_DN157171_c0_g1	1	1	0	0
TRINITY_DN157697_c0_g2	1	1	0	0
TRINITY_DN159888_c0_g2	1	1	0	0
TRINITY_DN160709_c0_g1	1	1	0	0
TRINITY_DN162517_c0_g1	1	1	0	0
TRINITY_DN163339_c3_g11	1	1	0	0
TRINITY_DN163850_c26_g1	1	1	0	0
TRINITY_DN164048_c0_g1	1	1	0	0
TRINITY_DN165033_c0_g1	1	1	0	0
TRINITY_DN165623_c0_g1	1	1	0	0
TRINITY_DN167948_c0_g1	1	1	0	0
TRINITY_DN168103_c0_g1	1	1	0	0
TRINITY_DN169087_c0_g1	1	1	0	0
TRINITY_DN169107_c0_g2	1	1	0	0
TRINITY_DN171120_c0_g19	1	1	0	0
TRINITY_DN172807_c0_g1	1	1	0	0
TRINITY_DN174342_c0_g2	1	1	0	0
TRINITY_DN174566_c0_g1	1	1	0	0
TRINITY_DN176174_c0_g1	1	1	0	0
TRINITY_DN178635_c0_g2	1	1	0	0
TRINITY_DN179273_c0_g1	1	1	0	0
TRINITY_DN179388_c0_g2	1	1	0	0
TRINITY_DN179674_c0_g1	1	1	0	0
TRINITY_DN182214_c0_g1	1	1	0	0
TRINITY_DN182259_c0_g16	1	1	0	0
TRINITY_DN182631_c0_g2	1	1	0	0
TRINITY_DN183689_c0_g1	1	1	0	0
TRINITY_DN183893_c0_g1	1	1	0	0
TRINITY_DN184598_c3_g8	1	1	0	0
TRINITY_DN185520_c0_g2	1	1	0	0
TRINITY_DN186413_c0_g1	1	1	0	0
TRINITY_DN186533_c0_g1	1	1	0	0
TRINITY_DN186846_c0_g1	1	1	0	0
TRINITY_DN187055_c0_g1	1	1	0	0
TRINITY_DN187055_c0_g2	1	1	0	0
TRINITY_DN187101_c0_g1	1	1	0	0
TRINITY_DN187101_c0_g2	1	1	0	0
TRINITY_DN187101_c0_g3	1	1	0	0
TRINITY_DN187516_c0_g2	1	1	0	0
TRINITY_DN187738_c0_g2	1	1	0	0
TRINITY_DN188001_c0_g2	1	1	0	0
TRINITY_DN188205_c0_g1	1	1	0	0
TRINITY_DN188345_c0_g2	1	1	0	0
TRINITY_DN188371_c0_g1	1	1	0	0
TRINITY_DN188907_c0_g1	1	1	0	0
TRINITY_DN188968_c0_g2	1	1	0	0
TRINITY_DN189554_c0_g2	1	1	0	0
TRINITY_DN189554_c0_g4	1	1	0	0
TRINITY_DN189883_c0_g4	1	1	0	0
TRINITY_DN190756_c0_g1	1	1	0	0
TRINITY_DN190905_c35_g2	1	1	0	0
TRINITY_DN190993_c0_g1	1	1	0	0
TRINITY_DN191054_c0_g1	1	1	0	0
TRINITY_DN191206_c0_g1	1	1	0	0
TRINITY_DN194258_c0_g1	1	1	0	0
TRINITY_DN194478_c0_g1	1	1	0	0
TRINITY_DN194546_c0_g1	1	1	0	0
TRINITY_DN195098_c0_g1	1	1	0	0
TRINITY_DN195247_c0_g1	1	1	0	0
TRINITY_DN197953_c0_g1	1	1	0	0
TRINITY_DN198443_c0_g1	1	1	0	0
TRINITY_DN200436_c0_g1	1	1	0	0
TRINITY_DN200436_c0_g2	1	1	0	0
TRINITY_DN200649_c0_g2	1	1	0	0
TRINITY_DN202795_c0_g1	1	1	0	0
TRINITY_DN202795_c0_g2	1	1	0	0
TRINITY_DN204502_c0_g1	1	1	0	0
TRINITY_DN204502_c0_g2	1	1	0	0
TRINITY_DN20502_c0_g1	1	1	0	0
TRINITY_DN205402_c0_g1	1	1	0	0
TRINITY_DN206497_c0_g1	1	1	0	0
TRINITY_DN206858_c0_g2	1	1	0	0
TRINITY_DN206914_c3_g8	1	1	0	0
TRINITY_DN207411_c0_g1	1	1	0	0
TRINITY_DN207411_c0_g3	1	1	0	0
TRINITY_DN207494_c0_g1	1	1	0	0
TRINITY_DN209194_c0_g3	1	1	0	0
TRINITY_DN209489_c0_g1	1	1	0	0
TRINITY_DN209767_c0_g1	1	1	0	0
TRINITY_DN211293_c0_g1	1	1	0	0
TRINITY_DN211415_c0_g3	1	1	0	0
TRINITY_DN211725_c0_g3	1	1	0	0
TRINITY_DN212187_c0_g1	1	1	0	0
TRINITY_DN212413_c0_g1	1	1	0	0
TRINITY_DN212703_c0_g2	1	1	0	0
TRINITY_DN212804_c0_g2	1	1	0	0
TRINITY_DN213025_c0_g2	1	1	0	0
TRINITY_DN214104_c1_g2	1	1	0	0
TRINITY_DN214486_c0_g1	1	1	0	0
TRINITY_DN214554_c0_g1	1	1	0	0
TRINITY_DN214788_c0_g1	1	1	0	0
TRINITY_DN215566_c0_g1	1	1	0	0
TRINITY_DN215725_c0_g1	1	1	0	0
TRINITY_DN215725_c0_g2	1	1	0	0
TRINITY_DN215865_c0_g3	1	1	0	0
TRINITY_DN216185_c0_g1	1	1	0	0
