"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"19","Component","GO:0005737",42,7911,3702,"3702.AT1G01620.1,3702.AT1G05850.1,3702.AT1G12950.1,3702.AT1G31800.1,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT2G19800.1,3702.AT2G37660.1,3702.AT2G38730.1,3702.AT3G15660.1,3702.AT3G26590.1,3702.AT3G46010.2,3702.AT3G48890.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G02890.3,3702.AT4G05020.2,3702.AT4G05050.2,3702.AT4G26260.2,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT4G39350.1,3702.AT5G08290.1,3702.AT5G20020.1,3702.AT5G40650.1,3702.AT5G42300.1,3702.AT5G47840.1,3702.AT5G50460.1,3702.AT5G56640.1,3702.AT5G57360.2,3702.AT5G58220.1,3702.AT5G59420.1,3702.AT5G60600.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00290.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","PIP1C,POM1,DTX31,CYP97A3,ABA4,VPS46.2,MIOX2,AT2G37660,AT2G38730,GRX4,AT3G26590,ADF1,MAPR3,AT3G58730,ABCC14,UBQ14,NDB2,UBQ11,MIOX4,PIP3,PLDDELTA,RD19,CESA2,YLS8,RAN2,SDH2-2,UBL5,AMK2,AT4G24920,MIOX5,ZTL,At5g58220,ORP3C,HDS,AT5G61670,CNX1,FAAH,CYTB,At2g07734,ATP6-1,COX3,ATP9",5.11e-09,4.18e-06,"Cytoplasm"
"20","Component","GO:0005622",48,10863,3702,"3702.AT1G01620.1,3702.AT1G05850.1,3702.AT1G12950.1,3702.AT1G31800.1,3702.AT1G33110.1,3702.AT1G64230.5,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT2G19800.1,3702.AT2G37660.1,3702.AT2G38730.1,3702.AT3G15660.1,3702.AT3G26590.1,3702.AT3G46010.2,3702.AT3G48890.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G02890.3,3702.AT4G05020.2,3702.AT4G05050.2,3702.AT4G26260.2,3702.AT4G27960.2,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT4G39350.1,3702.AT5G08290.1,3702.AT5G10980.1,3702.AT5G20020.1,3702.AT5G40650.1,3702.AT5G42300.1,3702.AT5G47840.1,3702.AT5G50460.1,3702.AT5G53300.1,3702.AT5G56640.1,3702.AT5G57360.2,3702.AT5G58220.1,3702.AT5G59420.1,3702.AT5G60600.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G62610.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00290.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","PIP1C,POM1,DTX31,CYP97A3,AT1G33110,UBC28,ABA4,VPS46.2,MIOX2,AT2G37660,AT2G38730,GRX4,AT3G26590,ADF1,MAPR3,AT3G58730,ABCC14,UBQ14,NDB2,UBQ11,MIOX4,UBC9,PIP3,PLDDELTA,RD19,CESA2,YLS8,HTR4,RAN2,SDH2-2,UBL5,AMK2,AT4G24920,UBC10,MIOX5,ZTL,At5g58220,ORP3C,HDS,AT5G61670,CNX1,AT5G62610,FAAH,CYTB,At2g07734,ATP6-1,COX3,ATP9",5.34e-08,2.19e-05,"Intracellular"
"21","Component","GO:0043229",45,9831,3702,"3702.AT1G01620.1,3702.AT1G05850.1,3702.AT1G12950.1,3702.AT1G31800.1,3702.AT1G33110.1,3702.AT1G64230.5,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT2G37660.1,3702.AT2G38730.1,3702.AT3G15660.1,3702.AT3G26590.1,3702.AT3G46010.2,3702.AT3G48890.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G02890.3,3702.AT4G05020.2,3702.AT4G05050.2,3702.AT4G27960.2,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT4G39350.1,3702.AT5G08290.1,3702.AT5G10980.1,3702.AT5G20020.1,3702.AT5G40650.1,3702.AT5G42300.1,3702.AT5G47840.1,3702.AT5G50460.1,3702.AT5G53300.1,3702.AT5G57360.2,3702.AT5G58220.1,3702.AT5G59420.1,3702.AT5G60600.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G62610.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00290.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","PIP1C,POM1,DTX31,CYP97A3,AT1G33110,UBC28,ABA4,VPS46.2,AT2G37660,AT2G38730,GRX4,AT3G26590,ADF1,MAPR3,AT3G58730,ABCC14,UBQ14,NDB2,UBQ11,UBC9,PIP3,PLDDELTA,RD19,CESA2,YLS8,HTR4,RAN2,SDH2-2,UBL5,AMK2,AT4G24920,UBC10,ZTL,At5g58220,ORP3C,HDS,AT5G61670,CNX1,AT5G62610,FAAH,CYTB,At2g07734,ATP6-1,COX3,ATP9",9.98e-08,2.19e-05,"Intracellular organelle"
"22","Component","GO:0043231",44,9376,3702,"3702.AT1G01620.1,3702.AT1G05850.1,3702.AT1G12950.1,3702.AT1G31800.1,3702.AT1G33110.1,3702.AT1G64230.5,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT2G37660.1,3702.AT2G38730.1,3702.AT3G15660.1,3702.AT3G26590.1,3702.AT3G48890.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G02890.3,3702.AT4G05020.2,3702.AT4G05050.2,3702.AT4G27960.2,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT4G39350.1,3702.AT5G08290.1,3702.AT5G10980.1,3702.AT5G20020.1,3702.AT5G40650.1,3702.AT5G42300.1,3702.AT5G47840.1,3702.AT5G50460.1,3702.AT5G53300.1,3702.AT5G57360.2,3702.AT5G58220.1,3702.AT5G59420.1,3702.AT5G60600.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G62610.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00290.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","PIP1C,POM1,DTX31,CYP97A3,AT1G33110,UBC28,ABA4,VPS46.2,AT2G37660,AT2G38730,GRX4,AT3G26590,MAPR3,AT3G58730,ABCC14,UBQ14,NDB2,UBQ11,UBC9,PIP3,PLDDELTA,RD19,CESA2,YLS8,HTR4,RAN2,SDH2-2,UBL5,AMK2,AT4G24920,UBC10,ZTL,At5g58220,ORP3C,HDS,AT5G61670,CNX1,AT5G62610,FAAH,CYTB,At2g07734,ATP6-1,COX3,ATP9",7.96e-08,2.19e-05,"Intracellular membrane-bounded organelle"
"23","Component","GO:0110165",53,13776,3702,"3702.AT1G01620.1,3702.AT1G05850.1,3702.AT1G12950.1,3702.AT1G31800.1,3702.AT1G33110.1,3702.AT1G64230.5,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT2G18420.1,3702.AT2G19800.1,3702.AT2G37660.1,3702.AT2G38730.1,3702.AT3G15660.1,3702.AT3G18830.1,3702.AT3G26590.1,3702.AT3G46010.2,3702.AT3G47570.1,3702.AT3G48890.1,3702.AT3G57520.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G02890.3,3702.AT4G05020.2,3702.AT4G05050.2,3702.AT4G15470.1,3702.AT4G26260.2,3702.AT4G27960.2,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT4G39350.1,3702.AT5G08290.1,3702.AT5G10980.1,3702.AT5G20020.1,3702.AT5G40650.1,3702.AT5G42300.1,3702.AT5G47840.1,3702.AT5G50460.1,3702.AT5G53300.1,3702.AT5G56640.1,3702.AT5G57360.2,3702.AT5G58220.1,3702.AT5G59420.1,3702.AT5G60600.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G62610.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00290.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","PIP1C,POM1,DTX31,CYP97A3,AT1G33110,UBC28,ABA4,VPS46.2,AT2G18420,MIOX2,AT2G37660,AT2G38730,GRX4,PMT5,AT3G26590,ADF1,AT3G47570,MAPR3,SIP2,AT3G58730,ABCC14,UBQ14,NDB2,UBQ11,AT4G15470,MIOX4,UBC9,PIP3,PLDDELTA,RD19,CESA2,YLS8,HTR4,RAN2,SDH2-2,UBL5,AMK2,AT4G24920,UBC10,MIOX5,ZTL,At5g58220,ORP3C,HDS,AT5G61670,CNX1,AT5G62610,FAAH,CYTB,At2g07734,ATP6-1,COX3,ATP9",4.58e-07,5.35e-05,"Cellular anatomical entity"
"24","Component","GO:0005773",12,945,3702,"3702.AT1G01620.1,3702.AT1G12950.1,3702.AT2G38730.1,3702.AT3G26590.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G02890.3,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT5G61790.1,3702.AT5G64440.1","PIP1C,DTX31,AT2G38730,AT3G26590,AT3G58730,ABCC14,UBQ14,PIP3,PLDDELTA,RD19,CNX1,FAAH",2.59e-06,0.00026,"Vacuole"
"25","Component","GO:0016020",30,5659,3702,"3702.AT1G01620.1,3702.AT1G12950.1,3702.AT1G33110.1,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT2G38730.1,3702.AT3G18830.1,3702.AT3G26590.1,3702.AT3G47570.1,3702.AT3G48890.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G05020.2,3702.AT4G15470.1,3702.AT4G35100.2,3702.AT4G35790.1,3702.AT4G39090.1,3702.AT4G39350.1,3702.AT5G10980.1,3702.AT5G40650.1,3702.AT5G50460.1,3702.AT5G58220.1,3702.AT5G59420.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","PIP1C,DTX31,AT1G33110,ABA4,VPS46.2,AT2G38730,PMT5,AT3G26590,AT3G47570,MAPR3,AT3G58730,ABCC14,NDB2,AT4G15470,PIP3,PLDDELTA,RD19,CESA2,HTR4,SDH2-2,AT4G24920,At5g58220,ORP3C,AT5G61670,CNX1,FAAH,CYTB,ATP6-1,COX3,ATP9",5.44e-06,5e-04,"Membrane"
"26","Component","GO:0005743",6,236,3702,"3702.AT4G05020.2,3702.AT5G40650.1,3702.ATMG00220.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","NDB2,SDH2-2,CYTB,ATP6-1,COX3,ATP9",2.56e-05,0.0021,"Mitochondrial inner membrane"
"27","Component","GO:0031090",16,2072,3702,"3702.AT1G12950.1,3702.AT1G67080.1,3702.AT1G73030.1,3702.AT3G26590.1,3702.AT3G58730.1,3702.AT3G62700.1,3702.AT4G05020.2,3702.AT5G40650.1,3702.AT5G50460.1,3702.AT5G61670.2,3702.AT5G61790.1,3702.AT5G64440.1,3702.ATMG00220.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","DTX31,ABA4,VPS46.2,AT3G26590,AT3G58730,ABCC14,NDB2,SDH2-2,AT4G24920,AT5G61670,CNX1,FAAH,CYTB,ATP6-1,COX3,ATP9",2.58e-05,0.0021,"Organelle membrane"
"28","Component","GO:0031967",11,1017,3702,"3702.AT1G31800.1,3702.AT1G67080.1,3702.AT4G05020.2,3702.AT5G20020.1,3702.AT5G40650.1,3702.AT5G60600.1,3702.AT5G61670.2,3702.ATMG00220.1,3702.ATMG00410.1,3702.ATMG00730.1,3702.ATMG01080.1","CYP97A3,ABA4,NDB2,RAN2,SDH2-2,HDS,AT5G61670,CYTB,ATP6-1,COX3,ATP9",3.1e-05,0.0021,"Organelle envelope"
