"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00833591866123654,3,77,17.646157121567,"Inositol phosphate metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00562 "," MIOX2  MIOX4  MIOX5"
0.00833591866123654,3,77,17.646157121567,"Phagosome","http://www.genome.jp/kegg-bin/show_pathway?ath04145 "," VHA-D    CNX1"
0.0111811834892823,3,98,13.864837738374,"Biosynthesis of nucleotide sugars","http://www.genome.jp/kegg-bin/show_pathway?ath01250 "," MIOX2  MIOX4  MIOX5"
0.0217481482678057,3,137,9.91791312672011,"Oxidative phosphorylation","http://www.genome.jp/kegg-bin/show_pathway?ath00190 ","   VHA-D  SDH2-2"
0.0353922360858834,2,57,15.8918607995398,"Galactose metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00052 "," RFS2  DIN10"
0.0357862461990938,2,63,14.3783502472027,"Ascorbate and aldarate metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00053 "," MIOX2  MIOX4"
0.0418305692615024,3,213,6.3791272223505,"Protein processing in endoplasmic reticulum","http://www.genome.jp/kegg-bin/show_pathway?ath04141 "," UBC28    CNX1"
0.0507868522651798,2,88,10.2935916542474,"Purine metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00230 "," AMK2  TTL"
0.118022530496527,1,21,21.5675253708041,"Thiamine metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00730 "," AMK2"
0.118022530496527,2,157,5.76965646862274,"Endocytosis","http://www.genome.jp/kegg-bin/show_pathway?ath04144 "," CHMP1B  PLDDELTA"
0.123675362348723,1,26,17.4199243379571,"Ether lipid metabolism","http://www.genome.jp/kegg-bin/show_pathway?ath00565 "," PLDDELTA"
0.123675362348723,1,29,15.6178631995478,"Carotenoid biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00906 "," CYP97A3"
0.123675362348723,2,187,4.84404313141054,"Spliceosome","http://www.genome.jp/kegg-bin/show_pathway?ath03040 "," CYP22  YLS8"
0.147583878355743,1,39,11.6132828919714,"Circadian rhythm","http://www.genome.jp/kegg-bin/show_pathway?ath04712 "," ZTL"
0.184408406572152,1,53,8.54562326012991,"Protein export","http://www.genome.jp/kegg-bin/show_pathway?ath03060 "," "
0.185683488141151,1,61,7.42488578339156,"Citrate cycle (TCA cycle)","http://www.genome.jp/kegg-bin/show_pathway?ath00020 "," SDH2-2"
0.185683488141151,1,60,7.54863387978142,"Terpenoid backbone biosynthesis","http://www.genome.jp/kegg-bin/show_pathway?ath00900 "," ISPG"
0.19318863410752,5,1243,1.82187462907033,"Biosynthesis of secondary metabolites","http://www.genome.jp/kegg-bin/show_pathway?ath01110 "," CYP97A3  PLDDELTA  SDH2-2  AMK2  ISPG"
