GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0055085	transmembrane transport	1130	10	1.82	9.5e-06	1.430e-02	P	AT1G01620, AT1G12950, AT1G33110, AT3G18830, AT3G26590, AT3G58730, AT3G62700, AT4G24920, AT4G35100, AT5G50460	PIP13_ARATH, DTX31_ARATH, DTX21_ARATH, PLT5_ARATH, DTX29_ARATH, VATD_ARATH, AB14C_ARATH, S61G1_ARATH, PIP27_ARATH, S61G1_ARATH
GO:0006855	drug transmembrane transport	85	4	0.14	1.1e-05	1.430e-02	P	AT1G12950, AT1G33110, AT3G26590, AT3G62700	DTX31_ARATH, DTX21_ARATH, DTX29_ARATH, AB14C_ARATH
GO:0015893	drug transport	87	4	0.14	1.2e-05	1.430e-02	P	AT1G12950, AT1G33110, AT3G26590, AT3G62700	DTX31_ARATH, DTX21_ARATH, DTX29_ARATH, AB14C_ARATH
GO:0042493	response to drug	88	4	0.14	1.2e-05	1.430e-02	P	AT1G12950, AT1G33110, AT3G26590, AT3G62700	DTX31_ARATH, DTX21_ARATH, DTX29_ARATH, AB14C_ARATH
GO:1901615	organic hydroxy compound metabolic process	331	6	0.53	1.4e-05	1.430e-02	P	AT1G05850, AT1G67080, AT2G19800, AT4G26260, AT4G35790, AT5G64440	CTL1_ARATH, ABA4_ARATH, MIOX2_ARATH, MIOX4_ARATH, PLDD1_ARATH, FAAH_ARATH
GO:0019310	inositol catabolic process	4	2	0.01	1.5e-05	1.430e-02	P	AT2G19800, AT4G26260	MIOX2_ARATH, MIOX4_ARATH
GO:0015793	glycerol transport	35	3	0.06	2.5e-05	2.034e-02	P	AT1G01620, AT3G18830, AT4G35100	PIP13_ARATH, PLT5_ARATH, PIP27_ARATH
GO:0006066	alcohol metabolic process	224	5	0.36	3e-05	2.034e-02	P	AT1G67080, AT2G19800, AT4G26260, AT4G35790, AT5G64440	ABA4_ARATH, MIOX2_ARATH, MIOX4_ARATH, PLDD1_ARATH, FAAH_ARATH
GO:0015791	polyol transport	38	3	0.06	3.2e-05	2.034e-02	P	AT1G01620, AT3G18830, AT4G35100	PIP13_ARATH, PLT5_ARATH, PIP27_ARATH
GO:0015850	organic hydroxy compound transport	49	3	0.08	6.8e-05	3.890e-02	P	AT1G01620, AT3G18830, AT4G35100	PIP13_ARATH, PLT5_ARATH, PIP27_ARATH
GO:0044765	single-organism transport	2119	12	3.42	9e-05	4.680e-02	P	AT1G01620, AT1G12950, AT1G33110, AT1G73030, AT3G18830, AT3G26590, AT3G58730, AT3G62700, AT4G24920, AT4G35100, AT5G50460, AT5G59420	PIP13_ARATH, DTX31_ARATH, DTX21_ARATH, CHM1B_ARATH, PLT5_ARATH, DTX29_ARATH, VATD_ARATH, AB14C_ARATH, S61G1_ARATH, PIP27_ARATH, S61G1_ARATH, ORP3C_ARATH
GO:1902578	single-organism localization	2160	12	3.49	0.00011	5.243e-02	P	AT1G01620, AT1G12950, AT1G33110, AT1G73030, AT3G18830, AT3G26590, AT3G58730, AT3G62700, AT4G24920, AT4G35100, AT5G50460, AT5G59420	PIP13_ARATH, DTX31_ARATH, DTX21_ARATH, CHM1B_ARATH, PLT5_ARATH, DTX29_ARATH, VATD_ARATH, AB14C_ARATH, S61G1_ARATH, PIP27_ARATH, S61G1_ARATH, ORP3C_ARATH
GO:0016122	xanthophyll metabolic process	13	2	0.02	2e-04	8.800e-02	P	AT1G31800, AT1G67080	LUT5_ARATH, ABA4_ARATH
GO:0044763	single-organism cellular process	8410	25	13.58	0.00026	1.062e-01	P	AT1G01620, AT1G05850, AT1G12950, AT1G31800, AT1G33110, AT1G67080, AT2G18420, AT2G19800, AT3G15660, AT3G18830, AT3G26590, AT3G58730, AT3G62700, AT4G24920, AT4G26260, AT4G35100, AT4G35790, AT4G39350, AT5G08290, AT5G40650, AT5G47840, AT5G50460, AT5G60600, AT5G64440, ATMG00560	PIP13_ARATH, CTL1_ARATH, DTX31_ARATH, LUT5_ARATH, DTX21_ARATH, ABA4_ARATH, GASAB_ARATH, MIOX2_ARATH, GRS15_ARATH, PLT5_ARATH, DTX29_ARATH, VATD_ARATH, AB14C_ARATH, S61G1_ARATH, MIOX4_ARATH, PIP27_ARATH, PLDD1_ARATH, CESA2_ARATH, YLS8_ARATH, SDHB2_ARATH, KAD2_ARATH, S61G1_ARATH, ISPG_ARATH, FAAH_ARATH, RM02_ARATH
