GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0044712	single-organism catabolic process	777	15	0.69	4.6e-18	2.631e-14	P	AT1G01090, AT1G02145, AT1G16900, AT1G54220, AT1G65520, AT2G18980, AT2G22420, AT2G37130, AT3G06860, AT3G13930, AT3G17070, AT4G14430, AT4G21960, AT4G29010, AT4G37530	ODPA3_ARATH, ALG12_ARATH, ALG9_ARATH, ODP23_ARATH, ECI1_ARATH, PER16_ARATH, PER17_ARATH, PER21_ARATH, MFP2_ARATH, ODP22_ARATH, PER29_ARATH, ECI2_ARATH, PER42_ARATH, AIM1_ARATH, PER51_ARATH
GO:0009056	catabolic process	1985	15	1.75	4.5e-12	1.287e-08	P	AT1G01090, AT1G02145, AT1G16900, AT1G54220, AT1G65520, AT2G18980, AT2G22420, AT2G37130, AT3G06860, AT3G13930, AT3G17070, AT4G14430, AT4G21960, AT4G29010, AT4G37530	ODPA3_ARATH, ALG12_ARATH, ALG9_ARATH, ODP23_ARATH, ECI1_ARATH, PER16_ARATH, PER17_ARATH, PER21_ARATH, MFP2_ARATH, ODP22_ARATH, PER29_ARATH, ECI2_ARATH, PER42_ARATH, AIM1_ARATH, PER51_ARATH
GO:0042744	hydrogen peroxide catabolic process	86	6	0.08	1.1e-10	2.097e-07	P	AT2G18980, AT2G22420, AT2G37130, AT3G17070, AT4G21960, AT4G37530	PER16_ARATH, PER17_ARATH, PER21_ARATH, PER29_ARATH, PER42_ARATH, PER51_ARATH
GO:0044710	single-organism metabolic process	5206	19	4.6	2e-10	2.860e-07	P	AT1G01090, AT1G02145, AT1G16900, AT1G54220, AT1G65520, AT2G18980, AT2G22420, AT2G37130, AT2G40190, AT2G47760, AT3G06860, AT3G13930, AT3G17070, AT4G14430, AT4G21960, AT4G29010, AT4G37530, AT5G02410, AT5G41670	ODPA3_ARATH, ALG12_ARATH, ALG9_ARATH, ODP23_ARATH, ECI1_ARATH, PER16_ARATH, PER17_ARATH, PER21_ARATH, ALG11_ARATH, ALG3_ARATH, MFP2_ARATH, ODP22_ARATH, PER29_ARATH, ECI2_ARATH, PER42_ARATH, AIM1_ARATH, PER51_ARATH, ALG10_ARATH, 6PGD2_ARATH
GO:0042743	hydrogen peroxide metabolic process	108	6	0.1	4.2e-10	4.805e-07	P	AT2G18980, AT2G22420, AT2G37130, AT3G17070, AT4G21960, AT4G37530	PER16_ARATH, PER17_ARATH, PER21_ARATH, PER29_ARATH, PER42_ARATH, PER51_ARATH
GO:0044248	cellular catabolic process	1462	12	1.29	7.2e-10	6.864e-07	P	AT1G02145, AT1G16900, AT1G65520, AT2G18980, AT2G22420, AT2G37130, AT3G06860, AT3G17070, AT4G14430, AT4G21960, AT4G29010, AT4G37530	ALG12_ARATH, ALG9_ARATH, ECI1_ARATH, PER16_ARATH, PER17_ARATH, PER21_ARATH, MFP2_ARATH, PER29_ARATH, ECI2_ARATH, PER42_ARATH, AIM1_ARATH, PER51_ARATH
GO:0097502	mannosylation	16	4	0.01	8.4e-10	6.864e-07	P	AT1G02145, AT1G16900, AT2G40190, AT2G47760	ALG12_ARATH, ALG9_ARATH, ALG11_ARATH, ALG3_ARATH
GO:0072593	reactive oxygen species metabolic process	169	6	0.15	6.3e-09	4.504e-06	P	AT2G18980, AT2G22420, AT2G37130, AT3G17070, AT4G21960, AT4G37530	PER16_ARATH, PER17_ARATH, PER21_ARATH, PER29_ARATH, PER42_ARATH, PER51_ARATH
GO:0044723	single-organism carbohydrate metabolic process	764	9	0.68	8.7e-09	5.529e-06	P	AT1G01090, AT1G02145, AT1G16900, AT1G54220, AT2G40190, AT2G47760, AT3G13930, AT5G02410, AT5G41670	ODPA3_ARATH, ALG12_ARATH, ALG9_ARATH, ODP23_ARATH, ALG11_ARATH, ALG3_ARATH, ODP22_ARATH, ALG10_ARATH, 6PGD2_ARATH
GO:0055114	oxidation-reduction process	1859	12	1.64	1.1e-08	6.292e-06	P	AT1G01090, AT1G65520, AT2G18980, AT2G22420, AT2G37130, AT3G06860, AT3G17070, AT4G14430, AT4G21960, AT4G29010, AT4G37530, AT5G41670	ODPA3_ARATH, ECI1_ARATH, PER16_ARATH, PER17_ARATH, PER21_ARATH, MFP2_ARATH, PER29_ARATH, ECI2_ARATH, PER42_ARATH, AIM1_ARATH, PER51_ARATH, 6PGD2_ARATH
