tau	PRB	PRL	PRP	PRPD
TRINITY_DN101012_c0_g1	1	1	0	0	0
TRINITY_DN103764_c2_g201	1	1	0	0	0
TRINITY_DN103764_c2_g402	1	1	0	0	0
TRINITY_DN103764_c2_g403	1	1	0	0	0
TRINITY_DN103764_c2_g493	1	1	0	0	0
TRINITY_DN103764_c2_g500	1	1	0	0	0
TRINITY_DN103764_c2_g592	1	1	0	0	0
TRINITY_DN103764_c2_g599	1	1	0	0	0
TRINITY_DN103764_c2_g624	1	1	0	0	0
TRINITY_DN103764_c2_g643	1	1	0	0	0
TRINITY_DN103764_c2_g65	1	1	0	0	0
TRINITY_DN103764_c2_g98	1	1	0	0	0
TRINITY_DN104338_c0_g1	1	1	0	0	0
TRINITY_DN105093_c0_g1	1	1	0	0	0
TRINITY_DN105914_c0_g2	1	1	0	0	0
TRINITY_DN106872_c0_g1	1	1	0	0	0
TRINITY_DN109103_c0_g1	1	1	0	0	0
TRINITY_DN110101_c0_g1	1	1	0	0	0
TRINITY_DN112045_c0_g1	1	1	0	0	0
TRINITY_DN112803_c0_g1	1	1	0	0	0
TRINITY_DN115980_c1_g1	1	1	0	0	0
TRINITY_DN117959_c0_g1	1	1	0	0	0
TRINITY_DN119739_c0_g1	1	1	0	0	0
TRINITY_DN121014_c0_g2	1	1	0	0	0
TRINITY_DN125344_c0_g1	1	1	0	0	0
TRINITY_DN125599_c0_g1	1	1	0	0	0
TRINITY_DN133146_c0_g1	1	1	0	0	0
TRINITY_DN133417_c0_g1	1	1	0	0	0
TRINITY_DN135635_c0_g1	1	1	0	0	0
TRINITY_DN141586_c0_g2	1	1	0	0	0
TRINITY_DN142189_c0_g2	1	1	0	0	0
TRINITY_DN143896_c0_g1	1	1	0	0	0
TRINITY_DN145031_c0_g2	1	1	0	0	0
TRINITY_DN145991_c0_g1	1	1	0	0	0
TRINITY_DN146435_c0_g1	1	1	0	0	0
TRINITY_DN146995_c0_g1	1	1	0	0	0
TRINITY_DN14832_c0_g1	1	1	0	0	0
TRINITY_DN149883_c0_g2	1	1	0	0	0
TRINITY_DN150110_c0_g1	1	1	0	0	0
TRINITY_DN15035_c0_g2	1	1	0	0	0
TRINITY_DN152360_c0_g1	1	1	0	0	0
