tau	PRB	PRL	PRP	PRPD
TRINITY_DN0_c0_g1	1	0	1	0	0
TRINITY_DN10000_c0_g1	1	0	1	0	0
TRINITY_DN10001_c0_g1	1	0	1	0	0
TRINITY_DN100026_c0_g2	1	0	1	0	0
TRINITY_DN100029_c0_g1	1	0	1	0	0
TRINITY_DN100029_c0_g2	1	0	1	0	0
TRINITY_DN100046_c1_g2	1	0	1	0	0
TRINITY_DN100049_c0_g1	1	0	1	0	0
TRINITY_DN10005_c0_g1	1	0	1	0	0
TRINITY_DN100053_c0_g1	1	0	1	0	0
TRINITY_DN100065_c0_g1	1	0	1	0	0
TRINITY_DN100081_c0_g1	1	0	1	0	0
TRINITY_DN100082_c0_g1	1	0	1	0	0
TRINITY_DN100086_c0_g1	1	0	1	0	0
TRINITY_DN100089_c0_g1	1	0	1	0	0
TRINITY_DN100090_c0_g1	1	0	1	0	0
TRINITY_DN100099_c0_g1	1	0	1	0	0
TRINITY_DN100102_c0_g1	1	0	1	0	0
TRINITY_DN100104_c0_g1	1	0	1	0	0
TRINITY_DN100115_c0_g1	1	0	1	0	0
TRINITY_DN100135_c0_g1	1	0	1	0	0
TRINITY_DN100148_c0_g1	1	0	1	0	0
TRINITY_DN10015_c0_g1	1	0	1	0	0
TRINITY_DN100150_c0_g1	1	0	1	0	0
TRINITY_DN100151_c0_g1	1	0	1	0	0
TRINITY_DN100153_c1_g1	1	0	1	0	0
TRINITY_DN100154_c0_g1	1	0	1	0	0
TRINITY_DN10016_c0_g1	1	0	1	0	0
TRINITY_DN10016_c0_g2	1	0	1	0	0
TRINITY_DN100161_c0_g2	1	0	1	0	0
TRINITY_DN100162_c0_g1	1	0	1	0	0
TRINITY_DN100171_c0_g1	1	0	1	0	0
TRINITY_DN100172_c0_g1	1	0	1	0	0
TRINITY_DN100192_c0_g1	1	0	1	0	0
TRINITY_DN1002_c0_g1	1	0	1	0	0
TRINITY_DN100203_c0_g1	1	0	1	0	0
TRINITY_DN100211_c0_g1	1	0	1	0	0
TRINITY_DN100212_c0_g1	1	0	1	0	0
TRINITY_DN100215_c0_g1	1	0	1	0	0
TRINITY_DN100229_c0_g1	1	0	1	0	0
TRINITY_DN100230_c0_g1	1	0	1	0	0
TRINITY_DN100238_c0_g1	1	0	1	0	0
