"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"172","InterPro","IPR000757",6,33,3702,"3702.AT1G10550.1,3702.AT1G14720.1,3702.AT1G32170.1,3702.AT4G14130.1,3702.AT4G18990.1,3702.AT4G25810.1","XTH33,XTH28,XTH30,XTH15,XTH29,XTR6",8.02e-08,0.00045,"Glycoside hydrolase family 16"
"173","InterPro","IPR010713",6,33,3702,"3702.AT1G10550.1,3702.AT1G14720.1,3702.AT1G32170.1,3702.AT4G14130.1,3702.AT4G18990.1,3702.AT4G25810.1","XTH33,XTH28,XTH30,XTH15,XTH29,XTR6",8.02e-08,0.00045,"Xyloglucan endo-transglycosylase, C-terminal"
"174","InterPro","IPR016455",6,33,3702,"3702.AT1G10550.1,3702.AT1G14720.1,3702.AT1G32170.1,3702.AT4G14130.1,3702.AT4G18990.1,3702.AT4G25810.1","XTH33,XTH28,XTH30,XTH15,XTH29,XTR6",8.02e-08,0.00045,"Xyloglucan endotransglucosylase/hydrolase"
"175","InterPro","IPR004776",4,15,3702,"3702.AT1G23080.1,3702.AT1G70940.1,3702.AT2G01420.2,3702.AT5G65980.1","PIN7,PIN3,PIN4,AT5G65980",3.49e-06,0.0049,"Membrane transport protein"
"176","InterPro","IPR015422",6,80,3702,"3702.AT1G08630.1,3702.AT1G22020.1,3702.AT1G36370.1,3702.AT1G64660.1,3702.AT3G01120.1,3702.AT3G08860.1","THA1,SHM6,SHM7,MGL,MTO1,PYD4",9.3e-06,0.0104,"Pyridoxal phosphate-dependent transferase domain 1"
"177","InterPro","IPR015421",6,92,3702,"3702.AT1G08630.1,3702.AT1G22020.1,3702.AT1G36370.1,3702.AT1G64660.1,3702.AT3G01120.1,3702.AT3G08860.1","THA1,SHM6,SHM7,MGL,MTO1,PYD4",1.97e-05,0.0174,"Pyridoxal phosphate-dependent transferase, major domain"
"178","InterPro","IPR015424",6,91,3702,"3702.AT1G08630.1,3702.AT1G22020.1,3702.AT1G36370.1,3702.AT1G64660.1,3702.AT3G01120.1,3702.AT3G08860.1","THA1,SHM6,SHM7,MGL,MTO1,PYD4",1.86e-05,0.0174,"Pyridoxal phosphate-dependent transferase"
"179","InterPro","IPR014024",3,8,3702,"3702.AT1G23080.1,3702.AT1G70940.1,3702.AT2G01420.2","PIN7,PIN3,PIN4",2.78e-05,0.0195,"Auxin efflux carrier, plant type"
"180","InterPro","IPR024750",3,8,3702,"3702.AT3G21180.1,3702.AT4G29900.1,3702.AT5G57110.2","ACA9,ACA10,At5g57110",2.78e-05,0.0195,"Calcium-transporting P-type ATPase, N-terminal autoinhibitory domain"
"181","InterPro","IPR006408",3,10,3702,"3702.AT3G21180.1,3702.AT4G29900.1,3702.AT5G57110.2","ACA9,ACA10,At5g57110",4.78e-05,0.0268,"P-type ATPase, subfamily IIB"
"182","InterPro","IPR013320",6,120,3702,"3702.AT1G10550.1,3702.AT1G14720.1,3702.AT1G32170.1,3702.AT4G14130.1,3702.AT4G18990.1,3702.AT4G25810.1","XTH33,XTH28,XTH30,XTH15,XTH29,XTR6",8.1e-05,0.0413,"Concanavalin A-like lectin/glucanase domain superfamily"
