"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"13","Process","GO:0009987",111,11004,3702,"3702.AT1G03870.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G08510.1,3702.AT1G08630.1,3702.AT1G09070.1,3702.AT1G09140.1,3702.AT1G10200.1,3702.AT1G10550.1,3702.AT1G12950.1,3702.AT1G14720.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G32170.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G63930.1,3702.AT1G64230.5,3702.AT1G64660.1,3702.AT1G66150.1,3702.AT1G68090.1,3702.AT1G69500.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G72160.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G03590.1,3702.AT2G07050.1,3702.AT2G15620.1,3702.AT2G16120.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G34770.1,3702.AT2G35940.3,3702.AT2G36830.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G05610.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G18040.1,3702.AT3G18830.1,3702.AT3G20770.1,3702.AT3G21180.1,3702.AT3G23920.1,3702.AT3G25690.2,3702.AT3G30390.2,3702.AT3G49430.3,3702.AT3G51550.1,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT3G57770.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G12430.1,3702.AT4G13250.1,3702.AT4G14130.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G18990.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22590.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G27130.1,3702.AT4G29900.1,3702.AT4G30960.1,3702.AT4G34350.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G38460.1,3702.AT5G04340.1,3702.AT5G15580.1,3702.AT5G18080.1,3702.AT5G19770.1,3702.AT5G19780.1,3702.AT5G19855.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G26751.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G39865.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G47240.1,3702.AT5G48230.2,3702.AT5G49180.1,3702.AT5G49630.1,3702.AT5G54380.1,3702.AT5G57110.2,3702.AT5G62680.1,3702.AT5G63970.1,3702.AT5G65980.1","FLA9,NRT2:1,YAB2,FATB,THA1,SRC2,SR30,WLIM1,XTH33,DTX31,XTH28,PSS1,JAZ1,MET3-1,SHM6,PIN7,UGT74B1,ASB1,XTH30,SHM7,GLR3.3,ALDH3H1,ROH1,UBC28,MGL,TMK1,ANN5,CYP704B1,AT1G70810,PIN3,AT1G72160,AT1G79600,PIN4,UPS1,CAS1,NIR1,PMT1,UCP5,SDF2,ELF3,T29F13.2,BLH1,GAMMA-TIP,PAO2,MTO1,AT3G05610,LACS6,PYD4,AT3G10330,MPK9,PMT5,EIN3,ACA9,TRBAMY,CHUP1,AT3G30390,SR34a,FER,CAX3,SULTR3;1,AT3G57770,PAO3,POB1,SAG21,SR34b,UBQ14,UBQ11,GTA2,TPPF,NYC1,XTH15,SWEET17,BIN2,XTH29,AT4G19010,NCED4,IM,TPPG,PGRL1A,XTR6,ACHT1,AT4G27130,ACA10,SIP3,HDR,PIP3,GLUR2,GGR,ZAT6,LNG1,SAUR24,TUA3,TUA5,RbcX2,MGD2,PRR5,F2P16.21,LACS7,AT5G38030,AT5G39865,AT5G41670,ATAUX2-11,NUDT8,ACAT2,AT5G49180,AAP6,THE1,At5g57110,GTR2,RGLG3,AT5G65980",2.59e-15,1.22e-11,"Cellular process"
"14","Process","GO:0042221",43,2590,3702,"3702.AT1G08090.1,3702.AT1G09070.1,3702.AT1G19180.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G64660.1,3702.AT1G68090.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G76180.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G14960.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G01220.1,3702.AT3G05970.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G23920.1,3702.AT3G51550.1,3702.AT3G51860.1,3702.AT4G02380.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G26160.1,3702.AT4G30960.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G37760.1,3702.AT5G04340.1,3702.AT5G18080.1,3702.AT5G27600.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G54380.1,3702.AT5G63970.1,3702.AT5G65980.1","NRT2:1,SRC2,JAZ1,SHM6,PIN7,SHM7,GLR3.3,ALDH3H1,MGL,ANN5,AT1G70810,PIN3,ERD14,AT1G79600,PIN4,GH3.1,NIR1,UCP5,ELF3,BLH1,HB20,LACS6,MPK9,EIN3,TRBAMY,FER,CAX3,SAG21,SWEET17,BIN2,ACHT1,SIP3,PIP3,GLUR2,SQE3,ZAT6,SAUR24,LACS7,AT5G41670,ATAUX2-11,THE1,RGLG3,AT5G65980",8.42e-11,1.98e-07,"Response to chemical"
"15","Process","GO:1901700",31,1414,3702,"3702.AT1G08090.1,3702.AT1G19180.1,3702.AT1G22020.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G64660.1,3702.AT1G68090.1,3702.AT1G70810.1,3702.AT1G76180.1,3702.AT1G79600.1,3702.AT2G15620.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G05970.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G23920.1,3702.AT3G51550.1,3702.AT4G02380.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G30960.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G37760.1,3702.AT5G04340.1,3702.AT5G27600.1,3702.AT5G41670.2,3702.AT5G54380.1,3702.AT5G63970.1","NRT2:1,JAZ1,SHM6,SHM7,GLR3.3,ALDH3H1,MGL,ANN5,AT1G70810,ERD14,AT1G79600,NIR1,ELF3,BLH1,LACS6,MPK9,EIN3,TRBAMY,FER,SAG21,SWEET17,BIN2,SIP3,PIP3,GLUR2,SQE3,ZAT6,LACS7,AT5G41670,THE1,RGLG3",1.03e-10,1.98e-07,"Response to oxygen-containing compound"
"16","Process","GO:0008152",80,7962,3702,"3702.AT1G08090.1,3702.AT1G08510.1,3702.AT1G08630.1,3702.AT1G09140.1,3702.AT1G10550.1,3702.AT1G14720.1,3702.AT1G15110.2,3702.AT1G19920.1,3702.AT1G22020.1,3702.AT1G24100.1,3702.AT1G25220.2,3702.AT1G32170.1,3702.AT1G36370.1,3702.AT1G44170.2,3702.AT1G63930.1,3702.AT1G64230.5,3702.AT1G64660.1,3702.AT1G64900.1,3702.AT1G66150.1,3702.AT1G67290.1,3702.AT1G69500.1,3702.AT1G78140.1,3702.AT1G79600.1,3702.AT2G03590.1,3702.AT2G07050.1,3702.AT2G15620.1,3702.AT2G29150.1,3702.AT2G34770.1,3702.AT2G43020.1,3702.AT3G01120.1,3702.AT3G03470.1,3702.AT3G05610.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G10330.1,3702.AT3G16150.1,3702.AT3G18040.1,3702.AT3G23920.1,3702.AT3G26300.1,3702.AT3G49430.3,3702.AT3G51550.1,3702.AT3G51860.1,3702.AT3G57770.1,3702.AT3G59050.1,3702.AT3G61600.1,3702.AT4G02430.2,3702.AT4G02890.3,3702.AT4G05050.2,3702.AT4G08350.1,3702.AT4G12430.1,3702.AT4G13250.1,3702.AT4G14130.1,3702.AT4G18710.1,3702.AT4G18990.1,3702.AT4G19010.1,3702.AT4G19170.1,3702.AT4G22260.1,3702.AT4G22590.1,3702.AT4G22890.1,3702.AT4G25810.1,3702.AT4G26160.1,3702.AT4G27130.1,3702.AT4G30960.1,3702.AT4G34260.1,3702.AT4G34350.1,3702.AT4G37760.1,3702.AT4G38460.1,3702.AT5G10770.1,3702.AT5G18670.1,3702.AT5G20410.1,3702.AT5G26751.1,3702.AT5G27600.1,3702.AT5G39865.1,3702.AT5G41670.2,3702.AT5G48230.2,3702.AT5G49180.1,3702.AT5G50100.1,3702.AT5G54380.1,3702.AT5G59540.1,3702.AT5G63970.1","NRT2:1,FATB,THA1,SR30,XTH33,XTH28,PSS1,MET3-1,SHM6,UGT74B1,ASB1,XTH30,SHM7,ALDH3H1,ROH1,UBC28,MGL,CYP89A2,TMK1,GLOX1,CYP704B1,AT1G78140,AT1G79600,UPS1,CAS1,NIR1,AT2G29150,T29F13.2,PAO2,MTO1,CYP89A9,AT3G05610,LACS6,PYD4,AT3G10330,ASPGB1,MPK9,TRBAMY,CYP71B34,SR34a,FER,CAX3,AT3G57770,PAO3,POB1,SR34b,UBQ14,UBQ11,GTA2,TPPF,NYC1,XTH15,BIN2,XTH29,AT4G19010,NCED4,IM,TPPG,PGRL1A,XTR6,ACHT1,AT4G27130,SIP3,FUC95A,HDR,SQE3,GGR,AT5G10770,BMY3,MGD2,F2P16.21,LACS7,AT5G39865,AT5G41670,ACAT2,AT5G49180,AT5G50100,THE1,AT5G59540,RGLG3",3.56e-09,4.19e-06,"Metabolic process"
"17","Process","GO:0050896",60,5174,3702,"3702.AT1G08090.1,3702.AT1G09070.1,3702.AT1G19180.1,3702.AT1G19920.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G24100.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G64660.1,3702.AT1G66150.1,3702.AT1G68090.1,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G76180.1,3702.AT1G79600.1,3702.AT2G01420.2,3702.AT2G14960.1,3702.AT2G15620.1,3702.AT2G22500.1,3702.AT2G25110.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G01220.1,3702.AT3G05970.1,3702.AT3G08860.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G23920.1,3702.AT3G51550.1,3702.AT3G51860.1,3702.AT3G54500.3,3702.AT3G61600.1,3702.AT4G02380.1,3702.AT4G14130.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G26160.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G37470.1,3702.AT4G37760.1,3702.AT5G04340.1,3702.AT5G18080.1,3702.AT5G20410.1,3702.AT5G24470.1,3702.AT5G26751.1,3702.AT5G27600.1,3702.AT5G38030.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G47240.1,3702.AT5G54380.1,3702.AT5G57110.2,3702.AT5G62680.1,3702.AT5G63970.1,3702.AT5G65980.1","NRT2:1,SRC2,JAZ1,MET3-1,SHM6,PIN7,UGT74B1,SHM7,GLR3.3,ALDH3H1,MGL,TMK1,ANN5,AT1G70810,PIN3,ERD14,AT1G79600,PIN4,GH3.1,NIR1,UCP5,SDF2,ELF3,BLH1,HB20,LACS6,PYD4,MPK9,EIN3,TRBAMY,FER,CAX3,AT3G54500,POB1,SAG21,XTH15,SWEET17,BIN2,ACHT1,VEL1,SIP3,PIP3,GLUR2,KAI2,SQE3,ZAT6,SAUR24,MGD2,PRR5,F2P16.21,LACS7,AT5G38030,AT5G41670,ATAUX2-11,NUDT8,THE1,At5g57110,GTR2,RGLG3,AT5G65980",8.14e-09,7.66e-06,"Response to stimulus"
"18","Process","GO:0009719",27,1363,3702,"3702.AT1G19180.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G76180.1,3702.AT2G01420.2,3702.AT2G14960.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G01220.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G51550.1,3702.AT4G02380.1,3702.AT4G18710.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G37760.1,3702.AT5G18080.1,3702.AT5G43700.1,3702.AT5G54380.1,3702.AT5G63970.1,3702.AT5G65980.1","JAZ1,SHM6,PIN7,SHM7,GLR3.3,ALDH3H1,AT1G70810,PIN3,ERD14,PIN4,GH3.1,ELF3,BLH1,HB20,MPK9,EIN3,FER,SAG21,BIN2,PIP3,GLUR2,SQE3,SAUR24,ATAUX2-11,THE1,RGLG3,AT5G65980",1.63e-08,1.28e-05,"Response to endogenous stimulus"
"19","Process","GO:0010033",30,1719,3702,"3702.AT1G19180.1,3702.AT1G22020.1,3702.AT1G23080.1,3702.AT1G36370.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G76180.1,3702.AT2G01420.2,3702.AT2G14960.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G01220.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G51550.1,3702.AT4G02380.1,3702.AT4G15920.1,3702.AT4G18710.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT4G37760.1,3702.AT5G04340.1,3702.AT5G18080.1,3702.AT5G41670.2,3702.AT5G43700.1,3702.AT5G54380.1,3702.AT5G63970.1,3702.AT5G65980.1","JAZ1,SHM6,PIN7,SHM7,GLR3.3,ALDH3H1,AT1G70810,PIN3,ERD14,PIN4,GH3.1,ELF3,BLH1,HB20,MPK9,EIN3,FER,SAG21,SWEET17,BIN2,PIP3,GLUR2,SQE3,ZAT6,SAUR24,AT5G41670,ATAUX2-11,THE1,RGLG3,AT5G65980",3.79e-08,2.55e-05,"Response to organic substance"
"20","Process","GO:0055085",24,1203,3702,"3702.AT1G08090.1,3702.AT1G12950.1,3702.AT1G23080.1,3702.AT1G42540.1,3702.AT1G70940.1,3702.AT2G01420.2,3702.AT2G03590.1,3702.AT2G16120.1,3702.AT2G22500.1,3702.AT2G36830.1,3702.AT3G18830.1,3702.AT3G21180.1,3702.AT3G30390.2,3702.AT3G51860.1,3702.AT3G51895.1,3702.AT4G15920.1,3702.AT4G29900.1,3702.AT4G35100.2,3702.AT4G35290.2,3702.AT5G38030.1,3702.AT5G49630.1,3702.AT5G57110.2,3702.AT5G62680.1,3702.AT5G65980.1","NRT2:1,DTX31,PIN7,GLR3.3,PIN3,PIN4,UPS1,PMT1,UCP5,GAMMA-TIP,PMT5,ACA9,AT3G30390,CAX3,SULTR3;1,SWEET17,ACA10,PIP3,GLUR2,AT5G38030,AAP6,At5g57110,GTR2,AT5G65980",9.97e-08,5.86e-05,"Transmembrane transport"
"21","Process","GO:0009725",24,1329,3702,"3702.AT1G19180.1,3702.AT1G23080.1,3702.AT1G42540.1,3702.AT1G44170.2,3702.AT1G70810.1,3702.AT1G70940.1,3702.AT1G76180.1,3702.AT2G01420.2,3702.AT2G14960.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G01220.1,3702.AT3G18040.1,3702.AT3G20770.1,3702.AT3G51550.1,3702.AT4G02380.1,3702.AT4G18710.1,3702.AT4G35100.2,3702.AT4G37760.1,3702.AT5G18080.1,3702.AT5G43700.1,3702.AT5G54380.1,3702.AT5G63970.1,3702.AT5G65980.1","JAZ1,PIN7,GLR3.3,ALDH3H1,AT1G70810,PIN3,ERD14,PIN4,GH3.1,ELF3,BLH1,HB20,MPK9,EIN3,FER,SAG21,BIN2,PIP3,SQE3,SAUR24,ATAUX2-11,THE1,RGLG3,AT5G65980",5.87e-07,3e-04,"Response to hormone"
"22","Process","GO:0048856",35,2520,3702,"3702.AT1G01550.1,3702.AT1G08090.1,3702.AT1G08465.1,3702.AT1G12950.1,3702.AT1G14720.1,3702.AT1G15110.2,3702.AT1G19180.1,3702.AT1G23080.1,3702.AT1G63930.1,3702.AT1G67290.1,3702.AT1G68090.1,3702.AT1G69500.1,3702.AT1G70940.1,3702.AT1G75390.1,3702.AT2G01420.2,3702.AT2G07050.1,3702.AT2G25930.1,3702.AT2G35940.3,3702.AT3G05970.1,3702.AT3G18830.1,3702.AT3G21180.1,3702.AT3G28917.1,3702.AT3G51550.1,3702.AT4G02380.1,3702.AT4G18710.1,3702.AT4G30200.2,3702.AT4G30960.1,3702.AT4G37470.1,3702.AT5G15580.1,3702.AT5G18080.1,3702.AT5G26751.1,3702.AT5G48230.2,3702.AT5G49180.1,3702.AT5G50100.1,3702.AT5G54380.1","BPS1,NRT2:1,YAB2,DTX31,XTH28,PSS1,JAZ1,PIN7,ROH1,GLOX1,ANN5,CYP704B1,PIN3,bZIP44,PIN4,CAS1,ELF3,BLH1,LACS6,PMT5,ACA9,MIF2,FER,SAG21,BIN2,VEL1,SIP3,KAI2,LNG1,SAUR24,F2P16.21,ACAT2,AT5G49180,AT5G50100,THE1",5.68e-07,3e-04,"Anatomical structure development"
