GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0044699	single-organism process	11098	97	55.88	2.8e-13	1.602e-09	P	AT1G01550, AT1G03870, AT1G08090, AT1G08465, AT1G08510, AT1G08630, AT1G09070, AT1G10200, AT1G10550, AT1G12950, AT1G14720, AT1G19180, AT1G19920, AT1G22020, AT1G23080, AT1G24100, AT1G36370, AT1G42540, AT1G44170, AT1G64660, AT1G64900, AT1G66150, AT1G67290, AT1G68090, AT1G69500, AT1G70810, AT1G70940, AT1G72160, AT1G75390, AT2G01420, AT2G03590, AT2G07050, AT2G15620, AT2G22500, AT2G25110, AT2G25930, AT2G29150, AT2G34770, AT2G35940, AT2G36830, AT2G43020, AT3G01120, AT3G03470, AT3G05970, AT3G08860, AT3G16150, AT3G18040, AT3G18830, AT3G20770, AT3G21180, AT3G26300, AT3G28917, AT3G51550, AT3G51860, AT3G51895, AT3G59050, AT4G02380, AT4G12430, AT4G13250, AT4G15920, AT4G18710, AT4G19010, AT4G19170, AT4G22260, AT4G22590, AT4G22890, AT4G26160, AT4G29900, AT4G30200, AT4G30960, AT4G34350, AT4G35100, AT4G35290, AT4G37470, AT4G37760, AT4G38400, AT4G38460, AT5G04340, AT5G15580, AT5G18080, AT5G19770, AT5G19780, AT5G20410, AT5G24470, AT5G26751, AT5G27600, AT5G38030, AT5G39865, AT5G43700, AT5G49180, AT5G49630, AT5G54380, AT5G57110, AT5G57660, AT5G59540, AT5G62680, AT5G65980	BPS1_ARATH, FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, FATB_ARATH, THA1_ARATH, SRC2_ARATH, WLIM1_ARATH, XTH33_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, APS2_ARATH, GLYC6_ARATH, PIN7_ARATH, U74B1_ARATH, GLYC7_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, C89A2_ARATH, TMK1_ARATH, GLOX1_ARATH, ANXD5_ARATH, C70B1_ARATH, CAR7_ARATH, PIN3_ARATH, PATL3_ARATH, BZP44_ARATH, PIN4_ARATH, UPS1_ARATH, CAS1_ARATH, NIR_ARATH, PUMP5_ARATH, SDF2_ARATH, ELF3_ARATH, TRNH3_ARATH, FAH1_ARATH, BLH1_ARATH, TIP11_ARATH, PAO2_ARATH, CGS1_ARATH, C89A9_ARATH, LACS6_ARATH, AGT23_ARATH, ASPGB_ARATH, MPK9_ARATH, PLT5_ARATH, EIN3_ARATH, ACA9_ARATH, C71BV_ARATH, MIF2_ARATH, FERON_ARATH, CAX3_ARATH, SUT31_ARATH, PAO3_ARATH, SAG21_ARATH, TPPF_ARATH, NYC1_ARATH, SWT17_ARATH, KSG7_ARATH, 4CLL6_ARATH, CCD4_ARATH, AOX4_ARATH, TPPG_ARATH, PGL1A_ARATH, TRL21_ARATH, ACA10_ARATH, VIL2_ARATH, CIPK6_ARATH, ISPH_ARATH, PIP27_ARATH, GLR32_ARATH, KAI2_ARATH, ERG16_ARATH, EXLA2_ARATH, GGR_ARATH, ZAT6_ARATH, LNG1_ARATH, SAU24_ARATH, TBA3_ARATH, TBA3_ARATH, MGDG2_ARATH, APRR5_ARATH, KSG1_ARATH, LACS7_ARATH, DTX30_ARATH, Y5986_ARATH, IAA4_ARATH, PME58_ARATH, AAP6_ARATH, THE1_ARATH, ACA8_ARATH, COL5_ARATH, ACH12_ARATH, PTR53_ARATH, PILS7_ARATH
GO:0042221	response to chemical	2847	43	14.33	1.5e-11	4.290e-08	P	AT1G08090, AT1G12950, AT1G19180, AT1G23080, AT1G36370, AT1G42540, AT1G44170, AT1G64660, AT1G68090, AT1G70810, AT1G70940, AT1G76180, AT2G01420, AT2G14960, AT2G15620, AT2G25110, AT2G25930, AT2G35940, AT2G36830, AT3G01220, AT3G05970, AT3G18040, AT3G20770, AT3G23920, AT3G51550, AT3G51860, AT3G58680, AT4G02380, AT4G15920, AT4G18710, AT4G26160, AT4G30960, AT4G34350, AT4G35100, AT4G35290, AT4G37760, AT5G04340, AT5G18080, AT5G27600, AT5G38030, AT5G43700, AT5G54380, AT5G65980	NRT21_ARATH, DTX31_ARATH, TI10A_ARATH, PIN7_ARATH, GLYC7_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, ANXD5_ARATH, CAR7_ARATH, PIN3_ARATH, ERD14_ARATH, PIN4_ARATH, GH31_ARATH, NIR_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, ATB20_ARATH, LACS6_ARATH, MPK9_ARATH, EIN3_ARATH, BAM1_ARATH, FERON_ARATH, CAX3_ARATH, MBF1B_ARATH, SAG21_ARATH, SWT17_ARATH, KSG7_ARATH, TRL21_ARATH, CIPK6_ARATH, ISPH_ARATH, PIP27_ARATH, GLR32_ARATH, ERG16_ARATH, ZAT6_ARATH, SAU24_ARATH, LACS7_ARATH, DTX30_ARATH, IAA4_ARATH, THE1_ARATH, PILS7_ARATH
GO:0044763	single-organism cellular process	8410	75	42.34	3.5e-09	6.673e-06	P	AT1G03870, AT1G08090, AT1G08465, AT1G08510, AT1G08630, AT1G10200, AT1G10550, AT1G12950, AT1G19180, AT1G19920, AT1G22020, AT1G23080, AT1G24100, AT1G36370, AT1G42540, AT1G44170, AT1G64660, AT1G66150, AT1G68090, AT1G69500, AT1G70810, AT1G70940, AT1G72160, AT2G01420, AT2G03590, AT2G07050, AT2G15620, AT2G25110, AT2G25930, AT2G34770, AT2G35940, AT2G36830, AT3G01120, AT3G05970, AT3G08860, AT3G16150, AT3G18040, AT3G18830, AT3G20770, AT3G21180, AT3G51550, AT3G51860, AT3G51895, AT4G02380, AT4G12430, AT4G13250, AT4G15920, AT4G18710, AT4G19010, AT4G22260, AT4G22590, AT4G22890, AT4G26160, AT4G29900, AT4G30200, AT4G30960, AT4G34350, AT4G35100, AT4G35290, AT4G38400, AT4G38460, AT5G15580, AT5G18080, AT5G19770, AT5G19780, AT5G20410, AT5G24470, AT5G27600, AT5G38030, AT5G39865, AT5G43700, AT5G49630, AT5G54380, AT5G57110, AT5G65980	FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, FATB_ARATH, THA1_ARATH, WLIM1_ARATH, XTH33_ARATH, DTX31_ARATH, TI10A_ARATH, APS2_ARATH, GLYC6_ARATH, PIN7_ARATH, U74B1_ARATH, GLYC7_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, TMK1_ARATH, ANXD5_ARATH, C70B1_ARATH, CAR7_ARATH, PIN3_ARATH, PATL3_ARATH, PIN4_ARATH, UPS1_ARATH, CAS1_ARATH, NIR_ARATH, SDF2_ARATH, ELF3_ARATH, FAH1_ARATH, BLH1_ARATH, TIP11_ARATH, CGS1_ARATH, LACS6_ARATH, AGT23_ARATH, ASPGB_ARATH, MPK9_ARATH, PLT5_ARATH, EIN3_ARATH, ACA9_ARATH, FERON_ARATH, CAX3_ARATH, SUT31_ARATH, SAG21_ARATH, TPPF_ARATH, NYC1_ARATH, SWT17_ARATH, KSG7_ARATH, 4CLL6_ARATH, AOX4_ARATH, TPPG_ARATH, PGL1A_ARATH, TRL21_ARATH, ACA10_ARATH, VIL2_ARATH, CIPK6_ARATH, ISPH_ARATH, PIP27_ARATH, GLR32_ARATH, EXLA2_ARATH, GGR_ARATH, LNG1_ARATH, SAU24_ARATH, TBA3_ARATH, TBA3_ARATH, MGDG2_ARATH, APRR5_ARATH, LACS7_ARATH, DTX30_ARATH, Y5986_ARATH, IAA4_ARATH, AAP6_ARATH, THE1_ARATH, ACA8_ARATH, PILS7_ARATH
GO:0009987	cellular process	15094	107	76	6.6e-09	9.438e-06	P	AT1G03870, AT1G08090, AT1G08465, AT1G08510, AT1G08630, AT1G09140, AT1G10200, AT1G10550, AT1G12950, AT1G14720, AT1G19180, AT1G19920, AT1G22020, AT1G23080, AT1G24100, AT1G32170, AT1G36370, AT1G42540, AT1G44170, AT1G64660, AT1G66150, AT1G68090, AT1G69500, AT1G70810, AT1G70940, AT1G72160, AT1G75390, AT2G01420, AT2G03590, AT2G07050, AT2G15620, AT2G22500, AT2G25110, AT2G25930, AT2G28200, AT2G34770, AT2G35940, AT2G36830, AT2G43020, AT3G01120, AT3G01220, AT3G05610, AT3G05970, AT3G08860, AT3G10330, AT3G16150, AT3G18040, AT3G18830, AT3G20770, AT3G21180, AT3G23920, AT3G25690, AT3G28917, AT3G49430, AT3G51550, AT3G51860, AT3G51895, AT3G54500, AT3G58680, AT3G59050, AT3G61600, AT4G02380, AT4G02430, AT4G05050, AT4G08350, AT4G12430, AT4G13250, AT4G14130, AT4G14540, AT4G15250, AT4G15920, AT4G18710, AT4G18990, AT4G19010, AT4G22260, AT4G22590, AT4G22890, AT4G25810, AT4G26160, AT4G27130, AT4G29900, AT4G30200, AT4G30960, AT4G34350, AT4G35100, AT4G35290, AT4G38400, AT4G38460, AT5G04340, AT5G15580, AT5G18080, AT5G19770, AT5G19780, AT5G20410, AT5G24470, AT5G26751, AT5G27600, AT5G38030, AT5G39865, AT5G43700, AT5G49180, AT5G49630, AT5G52510, AT5G54380, AT5G57110, AT5G57660, AT5G65980	FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, FATB_ARATH, THA1_ARATH, SR30_ARATH, WLIM1_ARATH, XTH33_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, APS2_ARATH, GLYC6_ARATH, PIN7_ARATH, U74B1_ARATH, XTH30_ARATH, GLYC7_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, TMK1_ARATH, ANXD5_ARATH, C70B1_ARATH, CAR7_ARATH, PIN3_ARATH, PATL3_ARATH, BZP44_ARATH, PIN4_ARATH, UPS1_ARATH, CAS1_ARATH, NIR_ARATH, PUMP5_ARATH, SDF2_ARATH, ELF3_ARATH, ZAT5_ARATH, FAH1_ARATH, BLH1_ARATH, TIP11_ARATH, PAO2_ARATH, CGS1_ARATH, ATB20_ARATH, PME21_ARATH, LACS6_ARATH, AGT23_ARATH, TF2B2_ARATH, ASPGB_ARATH, MPK9_ARATH, PLT5_ARATH, EIN3_ARATH, ACA9_ARATH, BAM1_ARATH, CHUP1_ARATH, MIF2_ARATH, SR34A_ARATH, FERON_ARATH, CAX3_ARATH, SUT31_ARATH, LNK2_ARATH, MBF1B_ARATH, PAO3_ARATH, POB1_ARATH, SAG21_ARATH, SR34B_ARATH, UBQ11_ARATH, SPT51_ARATH, TPPF_ARATH, NYC1_ARATH, XTH15_ARATH, NFYB3_ARATH, COL11_ARATH, SWT17_ARATH, KSG7_ARATH, XTH29_ARATH, 4CLL6_ARATH, AOX4_ARATH, TPPG_ARATH, PGL1A_ARATH, XTH23_ARATH, TRL21_ARATH, SUI11_ARATH, ACA10_ARATH, VIL2_ARATH, CIPK6_ARATH, ISPH_ARATH, PIP27_ARATH, GLR32_ARATH, EXLA2_ARATH, GGR_ARATH, ZAT6_ARATH, LNG1_ARATH, SAU24_ARATH, TBA3_ARATH, TBA3_ARATH, MGDG2_ARATH, APRR5_ARATH, KSG1_ARATH, LACS7_ARATH, DTX30_ARATH, Y5986_ARATH, IAA4_ARATH, PME58_ARATH, AAP6_ARATH, SCL8_ARATH, THE1_ARATH, ACA8_ARATH, COL5_ARATH, PILS7_ARATH
GO:1901700	response to oxygen-containing compound	1537	27	7.74	1e-08	1.144e-05	P	AT1G08090, AT1G19180, AT1G42540, AT1G44170, AT1G64660, AT1G68090, AT1G70810, AT1G76180, AT2G15620, AT2G25930, AT2G35940, AT2G36830, AT3G05970, AT3G18040, AT3G20770, AT3G23920, AT3G51550, AT4G02380, AT4G15920, AT4G18710, AT4G30960, AT4G35100, AT4G35290, AT4G37760, AT5G04340, AT5G27600, AT5G54380	NRT21_ARATH, TI10A_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, ANXD5_ARATH, CAR7_ARATH, ERD14_ARATH, NIR_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, LACS6_ARATH, MPK9_ARATH, EIN3_ARATH, BAM1_ARATH, FERON_ARATH, SAG21_ARATH, SWT17_ARATH, KSG7_ARATH, CIPK6_ARATH, PIP27_ARATH, GLR32_ARATH, ERG16_ARATH, ZAT6_ARATH, LACS7_ARATH, THE1_ARATH
GO:0001101	response to acid chemical	1182	22	5.95	1.1e-07	9.806e-05	P	AT1G08090, AT1G19180, AT1G42540, AT1G44170, AT1G64660, AT1G68090, AT1G70810, AT1G76180, AT2G15620, AT2G25930, AT2G35940, AT2G36830, AT3G05970, AT3G18040, AT3G23920, AT3G51550, AT4G02380, AT4G30960, AT4G35100, AT4G35290, AT4G37760, AT5G27600	NRT21_ARATH, TI10A_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, ANXD5_ARATH, CAR7_ARATH, ERD14_ARATH, NIR_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, LACS6_ARATH, MPK9_ARATH, BAM1_ARATH, FERON_ARATH, SAG21_ARATH, CIPK6_ARATH, PIP27_ARATH, GLR32_ARATH, ERG16_ARATH, LACS7_ARATH
GO:0044707	single-multicellular organism process	2847	36	14.33	1.2e-07	9.806e-05	P	AT1G01550, AT1G03870, AT1G08090, AT1G08465, AT1G12950, AT1G14720, AT1G19180, AT1G23080, AT1G67290, AT1G68090, AT1G69500, AT1G70940, AT1G75390, AT2G01420, AT2G07050, AT2G25110, AT2G25930, AT2G35940, AT3G05970, AT3G18830, AT3G21180, AT3G28917, AT3G51550, AT4G02380, AT4G18710, AT4G30200, AT4G30960, AT4G37470, AT5G04340, AT5G18080, AT5G24470, AT5G26751, AT5G49180, AT5G54380, AT5G57660, AT5G62680	BPS1_ARATH, FLA9_ARATH, NRT21_ARATH, YAB2_ARATH, DTX31_ARATH, XTH28_ARATH, TI10A_ARATH, PIN7_ARATH, GLOX1_ARATH, ANXD5_ARATH, C70B1_ARATH, PIN3_ARATH, BZP44_ARATH, PIN4_ARATH, CAS1_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, LACS6_ARATH, PLT5_ARATH, ACA9_ARATH, MIF2_ARATH, FERON_ARATH, SAG21_ARATH, KSG7_ARATH, VIL2_ARATH, CIPK6_ARATH, KAI2_ARATH, ZAT6_ARATH, SAU24_ARATH, APRR5_ARATH, KSG1_ARATH, PME58_ARATH, THE1_ARATH, COL5_ARATH, PTR53_ARATH
GO:0009719	response to endogenous stimulus	1767	27	8.9	1.8e-07	1.192e-04	P	AT1G19180, AT1G23080, AT1G42540, AT1G44170, AT1G70810, AT1G70940, AT1G76180, AT2G01420, AT2G14960, AT2G25930, AT2G35940, AT2G36830, AT3G01220, AT3G18040, AT3G20770, AT3G51550, AT3G58680, AT4G02380, AT4G18710, AT4G35100, AT4G35290, AT4G37760, AT5G04340, AT5G18080, AT5G43700, AT5G54380, AT5G65980	TI10A_ARATH, PIN7_ARATH, GLR33_ARATH, AL3H1_ARATH, CAR7_ARATH, PIN3_ARATH, ERD14_ARATH, PIN4_ARATH, GH31_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, ATB20_ARATH, MPK9_ARATH, EIN3_ARATH, FERON_ARATH, MBF1B_ARATH, SAG21_ARATH, KSG7_ARATH, PIP27_ARATH, GLR32_ARATH, ERG16_ARATH, ZAT6_ARATH, SAU24_ARATH, IAA4_ARATH, THE1_ARATH, PILS7_ARATH
GO:0050896	response to stimulus	6373	59	32.09	2.2e-07	1.192e-04	P	AT1G08090, AT1G12950, AT1G19180, AT1G19920, AT1G23080, AT1G24100, AT1G36370, AT1G42540, AT1G44170, AT1G64660, AT1G66150, AT1G68090, AT1G70810, AT1G70940, AT1G76180, AT2G01420, AT2G14960, AT2G15620, AT2G25110, AT2G25930, AT2G35940, AT2G36830, AT3G01220, AT3G05970, AT3G08860, AT3G18040, AT3G20770, AT3G23920, AT3G51550, AT3G51860, AT3G58680, AT3G61600, AT4G02380, AT4G15920, AT4G18710, AT4G22260, AT4G26160, AT4G30200, AT4G30960, AT4G34350, AT4G35100, AT4G35290, AT4G37470, AT4G37760, AT5G04340, AT5G18080, AT5G19770, AT5G20410, AT5G24470, AT5G26751, AT5G27600, AT5G38030, AT5G43700, AT5G47240, AT5G54380, AT5G57110, AT5G57660, AT5G62680, AT5G65980	NRT21_ARATH, DTX31_ARATH, TI10A_ARATH, APS2_ARATH, PIN7_ARATH, U74B1_ARATH, GLYC7_ARATH, GLR33_ARATH, AL3H1_ARATH, MGL_ARATH, TMK1_ARATH, ANXD5_ARATH, CAR7_ARATH, PIN3_ARATH, ERD14_ARATH, PIN4_ARATH, GH31_ARATH, NIR_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, ATB20_ARATH, LACS6_ARATH, AGT23_ARATH, MPK9_ARATH, EIN3_ARATH, BAM1_ARATH, FERON_ARATH, CAX3_ARATH, MBF1B_ARATH, POB1_ARATH, SAG21_ARATH, SWT17_ARATH, KSG7_ARATH, AOX4_ARATH, TRL21_ARATH, VIL2_ARATH, CIPK6_ARATH, ISPH_ARATH, PIP27_ARATH, GLR32_ARATH, KAI2_ARATH, ERG16_ARATH, ZAT6_ARATH, SAU24_ARATH, TBA3_ARATH, MGDG2_ARATH, APRR5_ARATH, KSG1_ARATH, LACS7_ARATH, DTX30_ARATH, IAA4_ARATH, NUDT8_ARATH, THE1_ARATH, ACA8_ARATH, COL5_ARATH, PTR53_ARATH, PILS7_ARATH
GO:0010033	response to organic substance	2026	29	10.2	2.3e-07	1.192e-04	P	AT1G19180, AT1G23080, AT1G42540, AT1G44170, AT1G70810, AT1G70940, AT1G76180, AT2G01420, AT2G14960, AT2G25110, AT2G25930, AT2G35940, AT2G36830, AT3G01220, AT3G18040, AT3G20770, AT3G51550, AT3G58680, AT4G02380, AT4G15920, AT4G18710, AT4G35100, AT4G35290, AT4G37760, AT5G04340, AT5G18080, AT5G43700, AT5G54380, AT5G65980	TI10A_ARATH, PIN7_ARATH, GLR33_ARATH, AL3H1_ARATH, CAR7_ARATH, PIN3_ARATH, ERD14_ARATH, PIN4_ARATH, GH31_ARATH, SDF2_ARATH, ELF3_ARATH, BLH1_ARATH, TIP11_ARATH, ATB20_ARATH, MPK9_ARATH, EIN3_ARATH, FERON_ARATH, MBF1B_ARATH, SAG21_ARATH, SWT17_ARATH, KSG7_ARATH, PIP27_ARATH, GLR32_ARATH, ERG16_ARATH, ZAT6_ARATH, SAU24_ARATH, IAA4_ARATH, THE1_ARATH, PILS7_ARATH
