tau	PRB	PRL	PRP	PRPD
TRINITY_DN101349_c0_g1	1	0	0	0	1
TRINITY_DN103764_c2_g166	1	0	0	0	1
TRINITY_DN103764_c2_g182	1	0	0	0	1
TRINITY_DN103764_c2_g352	1	0	0	0	1
TRINITY_DN103764_c2_g426	1	0	0	0	1
TRINITY_DN103764_c2_g474	1	0	0	0	1
TRINITY_DN104213_c1_g1	1	0	0	0	1
TRINITY_DN105001_c2_g1	1	0	0	0	1
TRINITY_DN105935_c0_g2	1	0	0	0	1
TRINITY_DN109103_c0_g2	1	0	0	0	1
TRINITY_DN127683_c0_g2	1	0	0	0	1
TRINITY_DN137077_c0_g2	1	0	0	0	1
TRINITY_DN14098_c0_g1	1	0	0	0	1
TRINITY_DN144929_c0_g1	1	0	0	0	1
TRINITY_DN146065_c0_g1	1	0	0	0	1
TRINITY_DN151391_c0_g1	1	0	0	0	1
TRINITY_DN152405_c0_g1	1	0	0	0	1
TRINITY_DN154006_c0_g3	1	0	0	0	1
TRINITY_DN155206_c0_g1	1	0	0	0	1
TRINITY_DN1559_c0_g1	1	0	0	0	1
TRINITY_DN158314_c0_g1	1	0	0	0	1
TRINITY_DN161272_c0_g1	1	0	0	0	1
TRINITY_DN163704_c0_g1	1	0	0	0	1
TRINITY_DN164387_c0_g1	1	0	0	0	1
TRINITY_DN165749_c1_g4	1	0	0	0	1
TRINITY_DN176719_c0_g1	1	0	0	0	1
TRINITY_DN176719_c0_g2	1	0	0	0	1
TRINITY_DN179388_c0_g1	1	0	0	0	1
TRINITY_DN179504_c0_g3	1	0	0	0	1
TRINITY_DN180060_c0_g1	1	0	0	0	1
TRINITY_DN181540_c0_g1	1	0	0	0	1
TRINITY_DN183297_c0_g1	1	0	0	0	1
TRINITY_DN188382_c12_g3	1	0	0	0	1
TRINITY_DN190100_c0_g1	1	0	0	0	1
TRINITY_DN192788_c0_g1	1	0	0	0	1
TRINITY_DN197750_c0_g1	1	0	0	0	1
TRINITY_DN199786_c0_g1	1	0	0	0	1
TRINITY_DN20515_c0_g1	1	0	0	0	1
TRINITY_DN206016_c0_g1	1	0	0	0	1
TRINITY_DN206481_c0_g11	1	0	0	0	1
TRINITY_DN206481_c0_g2	1	0	0	0	1
TRINITY_DN208855_c1_g1	1	0	0	0	1
TRINITY_DN211415_c0_g1	1	0	0	0	1
TRINITY_DN212413_c0_g2	1	0	0	0	1
TRINITY_DN212895_c0_g1	1	0	0	0	1
TRINITY_DN213105_c0_g1	1	0	0	0	1
TRINITY_DN214983_c0_g1	1	0	0	0	1
TRINITY_DN216901_c1_g2	1	0	0	0	1
TRINITY_DN218272_c0_g1	1	0	0	0	1
TRINITY_DN218777_c0_g2	1	0	0	0	1
TRINITY_DN219294_c0_g11	1	0	0	0	1
TRINITY_DN219294_c0_g9	1	0	0	0	1
TRINITY_DN219981_c0_g1	1	0	0	0	1
TRINITY_DN221836_c1_g2	1	0	0	0	1
TRINITY_DN222116_c0_g1	1	0	0	0	1
TRINITY_DN222206_c0_g2	1	0	0	0	1
TRINITY_DN222542_c0_g3	1	0	0	0	1
TRINITY_DN222958_c0_g1	1	0	0	0	1
TRINITY_DN223779_c0_g3	1	0	0	0	1
TRINITY_DN224521_c0_g1	1	0	0	0	1
TRINITY_DN224521_c0_g3	1	0	0	0	1
TRINITY_DN224611_c0_g1	1	0	0	0	1
TRINITY_DN224611_c0_g2	1	0	0	0	1
TRINITY_DN226762_c0_g3	1	0	0	0	1
TRINITY_DN228250_c0_g1	1	0	0	0	1
TRINITY_DN228770_c0_g1	1	0	0	0	1
TRINITY_DN230593_c0_g1	1	0	0	0	1
TRINITY_DN230821_c1_g6	1	0	0	0	1
TRINITY_DN231500_c1_g1	1	0	0	0	1
TRINITY_DN232068_c1_g1	1	0	0	0	1
TRINITY_DN232620_c0_g3	1	0	0	0	1
TRINITY_DN232792_c0_g1	1	0	0	0	1
TRINITY_DN233059_c0_g2	1	0	0	0	1
TRINITY_DN233085_c0_g3	1	0	0	0	1
TRINITY_DN233153_c0_g1	1	0	0	0	1
TRINITY_DN233958_c0_g1	1	0	0	0	1
TRINITY_DN233958_c0_g2	1	0	0	0	1
TRINITY_DN234380_c1_g1	1	0	0	0	1
TRINITY_DN234401_c0_g1	1	0	0	0	1
TRINITY_DN234451_c0_g1	1	0	0	0	1
TRINITY_DN235186_c0_g1	1	0	0	0	1
TRINITY_DN235186_c0_g2	1	0	0	0	1
TRINITY_DN235222_c0_g2	1	0	0	0	1
TRINITY_DN235417_c0_g2	1	0	0	0	1
TRINITY_DN235417_c0_g4	1	0	0	0	1
TRINITY_DN235574_c0_g1	1	0	0	0	1
TRINITY_DN235696_c0_g2	1	0	0	0	1
TRINITY_DN235823_c0_g6	1	0	0	0	1
TRINITY_DN235933_c2_g1	1	0	0	0	1
