GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0008380	RNA splicing	295	8	0.17	1.5e-12	8.580e-09	P	AT1G14650, AT1G26370, AT1G80070, AT2G40650, AT2G41500, AT2G47250, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, STA1_ARATH, PRP16_ARATH
GO:0006397	mRNA processing	371	8	0.21	9.3e-12	2.660e-08	P	AT1G14650, AT1G26370, AT1G80070, AT2G40650, AT2G41500, AT2G47250, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, STA1_ARATH, PRP16_ARATH
GO:0016071	mRNA metabolic process	462	8	0.27	5.4e-11	1.030e-07	P	AT1G14650, AT1G26370, AT1G80070, AT2G40650, AT2G41500, AT2G47250, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, STA1_ARATH, PRP16_ARATH
GO:0006396	RNA processing	861	8	0.5	7.3e-09	1.044e-05	P	AT1G14650, AT1G26370, AT1G80070, AT2G40650, AT2G41500, AT2G47250, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, STA1_ARATH, PRP16_ARATH
GO:0000398	mRNA splicing, via spliceosome	180	5	0.1	4.3e-08	4.919e-05	P	AT1G14650, AT1G80070, AT2G41500, AT4G03430, AT5G13010	SF3A1_ARATH, PRP8A_ARATH, PRP4L_ARATH, STA1_ARATH, PRP16_ARATH
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	192	5	0.11	5.9e-08	5.475e-05	P	AT1G14650, AT1G80070, AT2G41500, AT4G03430, AT5G13010	SF3A1_ARATH, PRP8A_ARATH, PRP4L_ARATH, STA1_ARATH, PRP16_ARATH
GO:0000375	RNA splicing, via transesterification reactions	197	5	0.11	6.7e-08	5.475e-05	P	AT1G14650, AT1G80070, AT2G41500, AT4G03430, AT5G13010	SF3A1_ARATH, PRP8A_ARATH, PRP4L_ARATH, STA1_ARATH, PRP16_ARATH
GO:0006139	nucleobase-containing compound metabolic process	4693	12	2.71	3.1e-07	2.216e-04	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0016070	RNA metabolic process	3744	11	2.16	4.2e-07	2.574e-04	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0043484	regulation of RNA splicing	27	3	0.02	4.5e-07	2.574e-04	P	AT1G14650, AT1G26370, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP16_ARATH
GO:0046483	heterocycle metabolic process	5028	12	2.9	6.8e-07	3.536e-04	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0000244	spliceosomal tri-snRNP complex assembly	3	2	0	9.3e-07	4.268e-04	P	AT1G80070, AT4G03430	PRP8A_ARATH, STA1_ARATH
GO:0006725	cellular aromatic compound metabolic process	5191	12	2.99	9.7e-07	4.268e-04	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:1901360	organic cyclic compound metabolic process	5339	12	3.08	1.3e-06	5.311e-04	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0090304	nucleic acid metabolic process	4222	11	2.43	1.5e-06	5.720e-04	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0010467	gene expression	5124	11	2.95	1.1e-05	3.933e-03	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0034641	cellular nitrogen compound metabolic process	6478	12	3.73	1.2e-05	4.038e-03	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0031053	primary miRNA processing	12	2	0.01	2e-05	6.356e-03	P	AT4G03430, AT5G13010	STA1_ARATH, PRP16_ARATH
GO:0006807	nitrogen compound metabolic process	6892	12	3.97	2.3e-05	6.924e-03	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0000380	alternative mRNA splicing, via spliceosome	20	2	0.01	5.9e-05	1.687e-02	P	AT1G14650, AT1G80070	SF3A1_ARATH, PRP8A_ARATH
GO:0035196	production of miRNAs involved in gene silencing by miRNA	21	2	0.01	6.5e-05	1.770e-02	P	AT4G03430, AT5G13010	STA1_ARATH, PRP16_ARATH
GO:0000387	spliceosomal snRNP assembly	22	2	0.01	7.1e-05	1.846e-02	P	AT1G80070, AT4G03430	PRP8A_ARATH, STA1_ARATH
GO:0080090	regulation of primary metabolic process	3172	8	1.83	0.00014	3.482e-02	P	AT1G14650, AT1G26370, AT2G17410, AT2G40880, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, CYT3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0031323	regulation of cellular metabolic process	3229	8	1.86	0.00016	3.813e-02	P	AT1G14650, AT1G26370, AT2G17410, AT2G40880, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, CYT3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0022618	ribonucleoprotein complex assembly	194	3	0.11	0.00017	3.890e-02	P	AT1G14650, AT1G80070, AT4G03430	SF3A1_ARATH, PRP8A_ARATH, STA1_ARATH
GO:0060255	regulation of macromolecule metabolic process	3293	8	1.9	0.00018	3.960e-02	P	AT1G14650, AT1G26370, AT2G17410, AT2G40880, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, CYT3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0071826	ribonucleoprotein complex subunit organization	200	3	0.12	0.00019	4.025e-02	P	AT1G14650, AT1G80070, AT4G03430	SF3A1_ARATH, PRP8A_ARATH, STA1_ARATH
GO:0009987	cellular process	15094	15	8.7	0.00028	5.720e-02	P	AT1G14650, AT1G14850, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G40880, AT2G41500, AT2G47250, AT3G15510, AT3G28050, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, NU155_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, CYT3_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, WTR18_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0044260	cellular macromolecule metabolic process	8738	12	5.04	0.00031	5.720e-02	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G40650, AT2G40880, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, PRP38_ARATH, CYT3_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0065003	macromolecular complex assembly	605	4	0.35	0.00032	5.720e-02	P	AT1G14650, AT1G80070, AT4G03430, AT5G13010	SF3A1_ARATH, PRP8A_ARATH, STA1_ARATH, PRP16_ARATH
GO:0031050	dsRNA fragmentation	48	2	0.03	0.00034	5.720e-02	P	AT4G03430, AT5G13010	STA1_ARATH, PRP16_ARATH
GO:0043331	response to dsRNA	48	2	0.03	0.00034	5.720e-02	P	AT4G03430, AT5G13010	STA1_ARATH, PRP16_ARATH
GO:0070918	production of small RNA involved in gene silencing by RNA	48	2	0.03	0.00034	5.720e-02	P	AT4G03430, AT5G13010	STA1_ARATH, PRP16_ARATH
GO:0071359	cellular response to dsRNA	48	2	0.03	0.00034	5.720e-02	P	AT4G03430, AT5G13010	STA1_ARATH, PRP16_ARATH
GO:0051252	regulation of RNA metabolic process	2650	7	1.53	0.00035	5.720e-02	P	AT1G14650, AT1G26370, AT2G17410, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0019219	regulation of nucleobase-containing compound metabolic process	2706	7	1.56	0.00039	6.197e-02	P	AT1G14650, AT1G26370, AT2G17410, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0019222	regulation of metabolic process	3768	8	2.17	0.00048	7.421e-02	P	AT1G14650, AT1G26370, AT2G17410, AT2G40880, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, CYT3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0051171	regulation of nitrogen compound metabolic process	2881	7	1.66	0.00058	7.715e-02	P	AT1G14650, AT1G26370, AT2G17410, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0010468	regulation of gene expression	2970	7	1.71	7e-04	9.100e-02	P	AT1G14650, AT1G26370, AT2G17410, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, ARID3_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0043170	macromolecule metabolic process	9520	12	5.49	0.00076	9.660e-02	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G40650, AT2G40880, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, PRP38_ARATH, CYT3_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
GO:0051254	positive regulation of RNA metabolic process	326	3	0.19	0.00079	9.823e-02	P	AT2G17410, AT4G03430, AT5G13010	ARID3_ARATH, STA1_ARATH, PRP16_ARATH
GO:0022607	cellular component assembly	774	4	0.45	0.00082	9.980e-02	P	AT1G14650, AT1G80070, AT4G03430, AT5G13010	SF3A1_ARATH, PRP8A_ARATH, STA1_ARATH, PRP16_ARATH
GO:0045935	positive regulation of nucleobase-containing compound metabolic process	342	3	0.2	0.00091	1.084e-01	P	AT2G17410, AT4G03430, AT5G13010	ARID3_ARATH, STA1_ARATH, PRP16_ARATH
GO:0010628	positive regulation of gene expression	356	3	0.21	0.00102	1.166e-01	P	AT2G17410, AT4G03430, AT5G13010	ARID3_ARATH, STA1_ARATH, PRP16_ARATH
GO:0044238	primary metabolic process	11638	13	6.71	0.00103	1.166e-01	P	AT1G14650, AT1G26370, AT1G80070, AT2G17410, AT2G38040, AT2G40650, AT2G40880, AT2G41500, AT2G47250, AT3G15510, AT4G02560, AT4G03430, AT5G13010	SF3A1_ARATH, PRP22_ARATH, PRP8A_ARATH, ARID3_ARATH, ACCA_ARATH, PRP38_ARATH, CYT3_ARATH, PRP4L_ARATH, PRP43_ARATH, NAC56_ARATH, LUMI_ARATH, STA1_ARATH, PRP16_ARATH
