tau	PRB	PRP	PRPD
TRINITY_DN101349_c0_g1	1	0	0	1
TRINITY_DN102142_c0_g1	1	0	0	1
TRINITY_DN103764_c2_g166	1	0	0	1
TRINITY_DN103764_c2_g182	1	0	0	1
TRINITY_DN103764_c2_g228	1	0	0	1
TRINITY_DN103764_c2_g378	1	0	0	1
TRINITY_DN103764_c2_g426	1	0	0	1
TRINITY_DN103764_c2_g474	1	0	0	1
TRINITY_DN103764_c2_g524	1	0	0	1
TRINITY_DN103764_c2_g529	1	0	0	1
TRINITY_DN105935_c0_g2	1	0	0	1
TRINITY_DN11646_c1_g1	1	0	0	1
TRINITY_DN117543_c0_g2	1	0	0	1
TRINITY_DN122459_c0_g1	1	0	0	1
TRINITY_DN127683_c0_g1	1	0	0	1
TRINITY_DN127683_c0_g2	1	0	0	1
TRINITY_DN137077_c0_g2	1	0	0	1
TRINITY_DN14098_c0_g1	1	0	0	1
TRINITY_DN144929_c0_g1	1	0	0	1
TRINITY_DN146065_c0_g1	1	0	0	1
TRINITY_DN1470_c0_g2	1	0	0	1
TRINITY_DN150456_c0_g1	1	0	0	1
TRINITY_DN151391_c0_g1	1	0	0	1
TRINITY_DN152222_c0_g3	1	0	0	1
TRINITY_DN152405_c0_g1	1	0	0	1
TRINITY_DN152487_c0_g4	1	0	0	1
TRINITY_DN153799_c0_g1	1	0	0	1
TRINITY_DN154006_c0_g3	1	0	0	1
TRINITY_DN154946_c0_g3	1	0	0	1
TRINITY_DN155206_c0_g1	1	0	0	1
TRINITY_DN1559_c0_g1	1	0	0	1
TRINITY_DN157186_c1_g7	1	0	0	1
TRINITY_DN158314_c0_g1	1	0	0	1
TRINITY_DN158314_c0_g2	1	0	0	1
TRINITY_DN158414_c0_g2	1	0	0	1
TRINITY_DN158916_c0_g5	1	0	0	1
TRINITY_DN161272_c0_g1	1	0	0	1
TRINITY_DN162379_c0_g2	1	0	0	1
TRINITY_DN163059_c0_g6	1	0	0	1
TRINITY_DN163339_c3_g5	1	0	0	1
TRINITY_DN163704_c0_g1	1	0	0	1
TRINITY_DN164387_c0_g1	1	0	0	1
TRINITY_DN165749_c1_g4	1	0	0	1
TRINITY_DN166199_c0_g1	1	0	0	1
TRINITY_DN176719_c0_g1	1	0	0	1
TRINITY_DN176719_c0_g2	1	0	0	1
TRINITY_DN179388_c0_g1	1	0	0	1
TRINITY_DN179504_c0_g3	1	0	0	1
TRINITY_DN180060_c0_g1	1	0	0	1
TRINITY_DN180982_c0_g2	1	0	0	1
TRINITY_DN181540_c0_g1	1	0	0	1
TRINITY_DN181575_c0_g1	1	0	0	1
TRINITY_DN183297_c0_g1	1	0	0	1
TRINITY_DN183932_c0_g2	1	0	0	1
TRINITY_DN188382_c12_g3	1	0	0	1
TRINITY_DN188391_c0_g1	1	0	0	1
TRINITY_DN188457_c1_g1	1	0	0	1
TRINITY_DN188883_c0_g1	1	0	0	1
TRINITY_DN189173_c0_g2	1	0	0	1
TRINITY_DN190100_c0_g1	1	0	0	1
TRINITY_DN192788_c0_g1	1	0	0	1
TRINITY_DN192820_c0_g1	1	0	0	1
TRINITY_DN192820_c0_g3	1	0	0	1
TRINITY_DN193795_c1_g1	1	0	0	1
TRINITY_DN194638_c0_g2	1	0	0	1
TRINITY_DN196698_c1_g1	1	0	0	1
TRINITY_DN197750_c0_g1	1	0	0	1
TRINITY_DN197953_c0_g2	1	0	0	1
TRINITY_DN199717_c0_g6	1	0	0	1
TRINITY_DN199786_c0_g1	1	0	0	1
TRINITY_DN200085_c0_g2	1	0	0	1
TRINITY_DN200466_c2_g1	1	0	0	1
TRINITY_DN201955_c0_g1	1	0	0	1
TRINITY_DN202953_c0_g2	1	0	0	1
TRINITY_DN20515_c0_g1	1	0	0	1
TRINITY_DN206016_c0_g1	1	0	0	1
TRINITY_DN206481_c0_g11	1	0	0	1
TRINITY_DN206481_c0_g2	1	0	0	1
TRINITY_DN207195_c0_g1	1	0	0	1
TRINITY_DN208103_c1_g5	1	0	0	1
