tau	PRB	PRP	PRPD
TRINITY_DN100443_c0_g1	1	0	1	0
TRINITY_DN103764_c2_g111	1	0	1	0
TRINITY_DN103764_c2_g13	1	0	1	0
TRINITY_DN103764_c2_g159	1	0	1	0
TRINITY_DN103764_c2_g210	1	0	1	0
TRINITY_DN103764_c2_g250	1	0	1	0
TRINITY_DN103764_c2_g314	1	0	1	0
TRINITY_DN103764_c2_g337	1	0	1	0
TRINITY_DN103764_c2_g376	1	0	1	0
TRINITY_DN103764_c2_g423	1	0	1	0
TRINITY_DN103764_c2_g428	1	0	1	0
TRINITY_DN103764_c2_g463	1	0	1	0
TRINITY_DN103764_c2_g540	1	0	1	0
TRINITY_DN103764_c2_g583	1	0	1	0
TRINITY_DN103764_c2_g59	1	0	1	0
TRINITY_DN103764_c2_g630	1	0	1	0
TRINITY_DN114827_c1_g1	1	0	1	0
TRINITY_DN12260_c0_g2	1	0	1	0
TRINITY_DN131679_c0_g1	1	0	1	0
TRINITY_DN144522_c0_g1	1	0	1	0
TRINITY_DN152326_c0_g1	1	0	1	0
TRINITY_DN157621_c1_g4	1	0	1	0
TRINITY_DN168302_c0_g12	1	0	1	0
TRINITY_DN170074_c0_g1	1	0	1	0
TRINITY_DN170625_c0_g1	1	0	1	0
TRINITY_DN171821_c0_g2	1	0	1	0
TRINITY_DN183689_c0_g2	1	0	1	0
TRINITY_DN187748_c0_g3	1	0	1	0
TRINITY_DN187838_c0_g1	1	0	1	0
TRINITY_DN197346_c0_g1	1	0	1	0
TRINITY_DN197757_c0_g8	1	0	1	0
TRINITY_DN198833_c0_g2	1	0	1	0
TRINITY_DN199189_c0_g1	1	0	1	0
TRINITY_DN201210_c0_g4	1	0	1	0
TRINITY_DN202086_c1_g13	1	0	1	0
TRINITY_DN204061_c0_g1	1	0	1	0
TRINITY_DN205642_c0_g2	1	0	1	0
TRINITY_DN206131_c0_g2	1	0	1	0
TRINITY_DN206591_c0_g6	1	0	1	0
TRINITY_DN206659_c1_g2	1	0	1	0
TRINITY_DN209537_c0_g1	1	0	1	0
TRINITY_DN213863_c3_g2	1	0	1	0
TRINITY_DN216547_c0_g1	1	0	1	0
TRINITY_DN218033_c0_g1	1	0	1	0
TRINITY_DN220313_c0_g1	1	0	1	0
TRINITY_DN220957_c0_g2	1	0	1	0
TRINITY_DN221810_c0_g3	1	0	1	0
TRINITY_DN221951_c0_g3	1	0	1	0
TRINITY_DN227050_c0_g1	1	0	1	0
TRINITY_DN227349_c0_g1	1	0	1	0
TRINITY_DN227657_c0_g1	1	0	1	0
TRINITY_DN232155_c0_g1	1	0	1	0
TRINITY_DN233198_c0_g1	1	0	1	0
TRINITY_DN233569_c0_g2	1	0	1	0
TRINITY_DN235656_c1_g1	1	0	1	0
TRINITY_DN23621_c0_g1	1	0	1	0
TRINITY_DN237043_c1_g1	1	0	1	0
TRINITY_DN237375_c0_g1	1	0	1	0
TRINITY_DN238056_c0_g3	1	0	1	0
TRINITY_DN238706_c1_g3	1	0	1	0
TRINITY_DN240236_c0_g1	1	0	1	0
TRINITY_DN243992_c0_g2	1	0	1	0
TRINITY_DN244172_c2_g14	1	0	1	0
TRINITY_DN244526_c0_g2	1	0	1	0
TRINITY_DN245449_c63_g56	1	0	1	0
TRINITY_DN245449_c63_g7	1	0	1	0
TRINITY_DN245609_c2_g1	1	0	1	0
TRINITY_DN24594_c0_g1	1	0	1	0
TRINITY_DN246696_c0_g1	1	0	1	0
TRINITY_DN246706_c59_g126	1	0	1	0
TRINITY_DN246706_c59_g130	1	0	1	0
TRINITY_DN246706_c59_g67	1	0	1	0
TRINITY_DN246706_c59_g97	1	0	1	0
TRINITY_DN246870_c2_g3	1	0	1	0
TRINITY_DN247526_c0_g3	1	0	1	0
TRINITY_DN249460_c4_g14	1	0	1	0
TRINITY_DN249691_c20_g35	1	0	1	0
TRINITY_DN251096_c0_g1	1	0	1	0
TRINITY_DN252891_c1_g2	1	0	1	0
TRINITY_DN252907_c100_g51	1	0	1	0
TRINITY_DN256620_c1_g1	1	0	1	0
