tau	PRB	PRP	PRPD
TRINITY_DN100443_c0_g1	1	0	1	0
TRINITY_DN101012_c0_g1	1	1	0	0
TRINITY_DN101126_c11_g1	0.4	0.4	0.008	0.291
TRINITY_DN101126_c4_g1	0.5	0.5	0	0.286
TRINITY_DN101349_c0_g1	1	0	0	1
TRINITY_DN102142_c0_g1	1	0	0	1
TRINITY_DN103655_c1_g1	0.5	0.5	0	0.432
TRINITY_DN103764_c2_g111	1	0	1	0
TRINITY_DN103764_c2_g13	1	0	1	0
TRINITY_DN103764_c2_g159	1	0	1	0
TRINITY_DN103764_c2_g166	1	0	0	1
TRINITY_DN103764_c2_g179	0.9	0	0.9	0.063
TRINITY_DN103764_c2_g182	1	0	0	1
TRINITY_DN103764_c2_g210	1	0	1	0
TRINITY_DN103764_c2_g228	1	0	0	1
TRINITY_DN103764_c2_g250	1	0	1	0
TRINITY_DN103764_c2_g314	1	0	1	0
TRINITY_DN103764_c2_g337	1	0	1	0
TRINITY_DN103764_c2_g352	0.875	0	0.154	0.875
TRINITY_DN103764_c2_g358	0.6	0.6	0.373	0
TRINITY_DN103764_c2_g376	1	0	1	0
TRINITY_DN103764_c2_g378	1	0	0	1
TRINITY_DN103764_c2_g402	1	1	0	0
TRINITY_DN103764_c2_g403	0.5	0.493	0	0.5
TRINITY_DN103764_c2_g405	0.7	0.283	0.7	0
TRINITY_DN103764_c2_g410	0.625	0.625	0	0.426
TRINITY_DN103764_c2_g423	1	0	1	0
TRINITY_DN103764_c2_g426	1	0	0	1
TRINITY_DN103764_c2_g428	1	0	1	0
TRINITY_DN103764_c2_g463	1	0	1	0
TRINITY_DN103764_c2_g474	1	0	0	1
TRINITY_DN103764_c2_g482	0.8	0.8	0.196	0
TRINITY_DN103764_c2_g5	0.5	0	0.5	0.444
TRINITY_DN103764_c2_g524	1	0	0	1
TRINITY_DN103764_c2_g529	1	0	0	1
TRINITY_DN103764_c2_g540	1	0	1	0
TRINITY_DN103764_c2_g583	1	0	1	0
