GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0010411	xyloglucan metabolic process	24	6	0.32	6e-07	3.039e-03	P	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810
GO:0070588	calcium ion transmembrane transport	36	6	0.49	7.6e-06	1.925e-02	P	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110
GO:0006816	calcium ion transport	45	6	0.61	2.9e-05	4.896e-02	P	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110
GO:0010410	hemicellulose metabolic process	55	6	0.74	9.1e-05	1.152e-01	P	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810
GO:0044036	cell wall macromolecule metabolic process	87	7	1.18	0.00017	1.722e-01	P	AT1G10550, AT1G14720, AT1G32170, AT2G25110, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT2G25110, AT4G14130, AT4G18990, AT4G25810
GO:0006544	glycine metabolic process	11	3	0.15	0.00037	3.123e-01	P	AT1G08630, AT1G22020, AT1G36370	AT1G08630, AT1G22020, AT1G36370
GO:0010383	cell wall polysaccharide metabolic process	73	6	0.99	0.00044	3.184e-01	P	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT4G14130, AT4G18990, AT4G25810
GO:0070838	divalent metal ion transport	85	6	1.15	0.00099	6.150e-01	P	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110
GO:0072511	divalent inorganic cation transport	87	6	1.18	0.00112	6.150e-01	P	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110	AT1G42540, AT3G21180, AT3G51860, AT4G29900, AT4G35290, AT5G57110
GO:0048511	rhythmic process	90	6	1.22	0.00134	6.150e-01	P	AT2G25930, AT3G54500, AT4G15920, AT4G30200, AT4G38960, AT5G24470	AT2G25930, AT3G54500, AT4G15920, AT4G30200, AT4G38960, AT5G24470
GO:0009733	response to auxin	201	9	2.72	0.00157	6.150e-01	P	AT1G23080, AT1G70940, AT2G01420, AT2G14960, AT2G25930, AT3G01220, AT5G18080, AT5G43700, AT5G65980	AT1G23080, AT1G70940, AT2G01420, AT2G14960, AT2G25930, AT3G01220, AT5G18080, AT5G43700, AT5G65980
GO:0006073	cellular glucan metabolic process	127	7	1.72	0.00163	6.150e-01	P	AT1G10550, AT1G14720, AT1G32170, AT3G23920, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT3G23920, AT4G14130, AT4G18990, AT4G25810
GO:0044042	glucan metabolic process	127	7	1.72	0.00163	6.150e-01	P	AT1G10550, AT1G14720, AT1G32170, AT3G23920, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT3G23920, AT4G14130, AT4G18990, AT4G25810
GO:0042546	cell wall biogenesis	128	7	1.73	0.0017	6.150e-01	P	AT1G10550, AT1G14720, AT1G32170, AT2G25110, AT4G14130, AT4G18990, AT4G25810	AT1G10550, AT1G14720, AT1G32170, AT2G25110, AT4G14130, AT4G18990, AT4G25810
