From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)
10HGO_CATRO	Q6V4H0	10HGO_CATRO	8-hydroxygeraniol dehydrogenase (Cr10HGO) (EC 1.1.1.324)	10HGO	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	360	FUNCTION: Dehydrogenase involved in the biosynthesis of oxogeranial from hydroxygeraniol, a precursor of the terpenoid indole alkaloids such as vinblastine and vincristine. {ECO:0000269|Ref.1}.			TISSUE SPECIFICITY: Present in seedlings and vascular tissues (at protein level). Restricted to the epidermis. {ECO:0000269|Ref.1}.	8-hydroxygeraniol dehydrogenase activity [GO:0102311]; zinc ion binding [GO:0008270]; organic substance metabolic process [GO:0071704]
14334_SOLLC	P42652	14334_SOLLC	14-3-3 protein 4 (PBLT4)	TFT4	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	260					cytoplasm [GO:0005737]; signal transduction [GO:0007165]
14KD_DAUCA	P14009	14KD_DAUCA	14 kDa proline-rich protein DC2.15		Daucus carota (Wild carrot)	137	FUNCTION: May be connected with the initiation of embryogenesis or with the metabolic changes produced by the removal of auxins.		DEVELOPMENTAL STAGE: Transiently expressed during early embryogenesis.		membrane [GO:0016020]
AB14C_ARATH	Q9LZJ5	AB14C_ARATH	ABC transporter C family member 14 (ABC transporter ABCC.14) (AtABCC14) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 10) (Glutathione S-conjugate-transporting ATPase 10) (Multidrug resistance-associated protein 10)	ABCC14 MRP10 MRP14 At3g62700 F26K9.130	Arabidopsis thaliana (Mouse-ear cress)	1539	FUNCTION: Pump for glutathione S-conjugates. {ECO:0000250}.			TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:12430019}.	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; plant-type vacuole [GO:0000325]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; transmembrane transport [GO:0055085]
ABA4_ARATH	Q8LFP9	ABA4_ARATH	Protein ABA DEFICIENT 4, chloroplastic	ABA4 At1g67080 F1O19.13	Arabidopsis thaliana (Mouse-ear cress)	220	FUNCTION: Required for neoxanthin biosynthesis, an intermediary step in abscisic acid (ABA) biosynthesis. Probably not involved directly in the enzymatic conversion of violaxanthin to neoxanthin. Cannot convert violaxanthin to neoxanthin in vitro. Required for ABA biosynthesis in response to drought stress (PubMed:17470058). Required for neoxanthin biosynthesis which is involved in photoprotection of photosystem II (PSII). Neoxanthin acts as an antioxidant within the photosystem PSII supercomplex (PubMed:17351115). {ECO:0000269|PubMed:17351115, ECO:0000269|PubMed:17470058}.			TISSUE SPECIFICITY: Expressed in root vasculature, root hairs, leaves, trichomes, sepals, stamens, stigma, pedicels, siliques and embryo. {ECO:0000269|PubMed:17470058}.	chloroplast envelope [GO:0009941]; chloroplast membrane [GO:0031969]; abscisic acid biosynthetic process [GO:0009688]; regulation of superoxide anion generation [GO:0032928]; xanthophyll metabolic process [GO:0016122]
ADF1_ARATH	Q39250	ADF1_ARATH	Actin-depolymerizing factor 1 (ADF-1) (AtADF1)	ADF1 At3g46010 F16L2_220	Arabidopsis thaliana (Mouse-ear cress)	139	FUNCTION: Actin-depolymerizing protein. Stimulates F-actin depolymerization. Involved in plant development, cell organ expansion and flowering by controlling breakdown of thick actin cables (PubMed:11402164). Severs actin filaments or bundles and promotes actin cytoskeleton disassembly (PubMed:21570971). Binds monomeric actin (G-actin) with a marked preference for the ADP-loaded form and inhibits the rate of nucleotide exchange on G-actin (PubMed:17538023). {ECO:0000269|PubMed:11402164, ECO:0000269|PubMed:17538023, ECO:0000269|PubMed:21570971}.			TISSUE SPECIFICITY: Expressed in vascular tissues of all organs. {ECO:0000269|PubMed:11414611}.	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; actin filament binding [GO:0051015]; actin filament depolymerization [GO:0030042]
ADF2_PETHY	Q9FVI1	ADF2_PETHY	Actin-depolymerizing factor 2 (ADF-2)	ADF2	Petunia hybrida (Petunia)	143	FUNCTION: Actin-depolymerizing protein. Severs actin filaments (F-actin) and binds to actin monomers (By similarity). {ECO:0000250}.				actin cytoskeleton [GO:0015629]; actin binding [GO:0003779]; actin filament depolymerization [GO:0030042]
ADO1_ARATH	Q94BT6	ADO1_ARATH	Adagio protein 1 (Clock-associated PAS protein ZTL) (F-box only protein 2b) (FBX2b) (Flavin-binding kelch repeat F-box protein 1-like protein 2) (FKF1-like protein 2) (LOV kelch protein 1) (Protein ZEITLUPE)	ADO1 FKL2 LKP1 ZTL At5g57360 MSF19.2	Arabidopsis thaliana (Mouse-ear cress)	609	FUNCTION: Component of an E3 ubiquitin ligase complex that plays a central role in blue light-dependent circadian cycles. Acts as a blue light photoreceptor, due to the presence of FMN, that mediates light-regulated protein degradation of critical clock components by targeting them to the proteasome complex. The SCF(ADO1) E3 ubiquitin ligase complex is involved in the regulation of circadian clock-dependent processes including the transition to flowering time, hypocotyl elongation, cotyledons and leaf movement rhythms. APRR1/TOC1 and APRR5, but not 'GIGANTEA', are proteolytic substrates of this ubiquitin ligase complex. Blue light enhances cooperative stabilization of 'GIGANTEA' and ADO1/ZTL, leading to amplification and sharpening of the expression profile of APRR1/TOC1. ADO1/ZTL interacts with ADO3, preventing the interaction of ADO3 with CDF1. {ECO:0000269|PubMed:10847686, ECO:0000269|PubMed:10847687, ECO:0000269|PubMed:10998191, ECO:0000269|PubMed:11260718, ECO:0000269|PubMed:14973171, ECO:0000269|PubMed:15447654, ECO:0000269|PubMed:16428597, ECO:0000269|PubMed:17704763, ECO:0000269|PubMed:21518052}.	PATHWAY: Protein modification; protein ubiquitination.	DEVELOPMENTAL STAGE: Mainly present during the light phase, and degraded in a proteasome-dependent manner in dark (at protein level).	TISSUE SPECIFICITY: Ubiquitously expressed with higher levels in cotyledons and leaves. {ECO:0000269|PubMed:10847687, ECO:0000269|PubMed:10998191}.	cytosol [GO:0005829]; nucleus [GO:0005634]; SCF ubiquitin ligase complex [GO:0019005]; photoreceptor activity [GO:0009881]; circadian rhythm [GO:0007623]; flower development [GO:0009908]; protein ubiquitination [GO:0016567]; response to blue light [GO:0009637]
ARF2_ORYSJ	P51823	ARF2_ORYSJ	ADP-ribosylation factor 2	ARF Os05g0489600 LOC_Os05g41060 OJ1119_H02.17	Oryza sativa subsp. japonica (Rice)	181	FUNCTION: GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus.				Golgi apparatus [GO:0005794]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
ARF_MAIZE	P49076	ARF_MAIZE	ADP-ribosylation factor	ARF1	Zea mays (Maize)	181	FUNCTION: GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus.				Golgi apparatus [GO:0005794]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]
