From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
CCD4_ARATH	O49675	CCD4_ARATH	Probable carotenoid cleavage dioxygenase 4, chloroplastic (AtCCD4) (EC 1.14.99.-) (AtNCED4)	CCD4 NCED4 At4g19170 T18B16.140	Arabidopsis thaliana (Mouse-ear cress)	595	FUNCTION: May be involved in carotenoid cleavage. {ECO:0000250|UniProtKB:O24592}.			TISSUE SPECIFICITY: Mostly expressed in flowers (e.g. sepals and petals), siliques, seeds, leaves and cotyledons. {ECO:0000269|PubMed:28534654}.	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plastoglobule [GO:0010287]; carotenoid dioxygenase activity [GO:0010436]; metal ion binding [GO:0046872]; beta-carotene catabolic process [GO:1901811]; carotene catabolic process [GO:0016121]	GO:0005829; GO:0009507; GO:0009570; GO:0010287; GO:0010436; GO:0016121; GO:0046872; GO:1901811
YCX91_PHAAO	Q3BAI2	YCX91_PHAAO	Uncharacterized protein ORF91		Phalaenopsis aphrodite subsp. formosana (Moth orchid)	91					chloroplast [GO:0009507]	GO:0009507
CML41_ARATH	Q8L3R2	CML41_ARATH	Probable calcium-binding protein CML41 (Calmodulin-like protein 41)	CML41 At3g50770 F18B3.50	Arabidopsis thaliana (Mouse-ear cress)	205	FUNCTION: Potential calcium sensor. {ECO:0000250}.				calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]	GO:0005509; GO:0030234
GDL6_ARATH	Q9FXJ1	GDL6_ARATH	GDSL esterase/lipase At1g28570 (EC 3.1.1.-) (Extracellular lipase At1g28570)	At1g28570 F1K23.19	Arabidopsis thaliana (Mouse-ear cress)	389					extracellular region [GO:0005576]; hydrolase activity, acting on ester bonds [GO:0016788]; lipid catabolic process [GO:0016042]	GO:0005576; GO:0016042; GO:0016788
XTH33_ARATH	Q8LC45	XTH33_ARATH	Probable xyloglucan endotransglucosylase/hydrolase protein 33 (At-XTH33) (XTH-33) (EC 2.4.1.207)	XTH33 At1g10550 T10O24.17	Arabidopsis thaliana (Mouse-ear cress)	310	FUNCTION: Catalyzes xyloglucan endohydrolysis (XEH) and/or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues (By similarity). {ECO:0000250|UniProtKB:Q38857}.		DEVELOPMENTAL STAGE: Transiently expressed in flowers. {ECO:0000269|PubMed:19154201}.	TISSUE SPECIFICITY: Expressed at low levels in vegetative tissues (roots, stems and seedlings) (PubMed:19154201). Predominantly expressed in green siliques (PubMed:11673616). Expressed in flowers (PubMed:18375658). {ECO:0000269|PubMed:11673616, ECO:0000269|PubMed:18375658, ECO:0000269|PubMed:19154201}.	apoplast [GO:0048046]; plasma membrane [GO:0005886]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide binding [GO:0030247]; xyloglucan:xyloglucosyl transferase activity [GO:0016762]; cell wall biogenesis [GO:0042546]; plant-type cell wall modification involved in multidimensional cell growth [GO:0009831]; xyloglucan metabolic process [GO:0010411]	GO:0004553; GO:0005886; GO:0009831; GO:0010411; GO:0016762; GO:0030247; GO:0042546; GO:0048046
NEC1_NESMA	P0DO50	NEC1_NESMA	Carbonic anhydrase Nec1 (EC 4.2.1.1) (Nectar protein 1) (NmNec1)	NEC1	Nesocodon mauritianus (Blue Mauritius bellflower) (Wahlenbergia mauritiana)	276	FUNCTION: Involved in the production of blood-red nectar containing the alkaloid nesocodin and that serves as a visual attractant for pollinator visitation, including vertebrates such as Phelsuma geckos (PubMed:35074876). The nectar is initially acidic and pale yellow, but slowly becomes alkaline before turning into red within 24 hours (PubMed:35074876). Together with NEC2 and NEC3, facilitates the condensation of sinapaldehyde ((E)-3,5-dimethoxy-4-hydroxycinnamaldehyde) and proline to form nesocodin, a pigment with a stable imine bond (PubMed:35074876). Mediates the alkalinization (pH increase) of the flower nectar by catalyzing the reversible hydration of carbon dioxide (PubMed:35074876). {ECO:0000269|PubMed:35074876}.	PATHWAY: One-carbon metabolism. {ECO:0000269|PubMed:35074876}.		TISSUE SPECIFICITY: Confined to nectaries. {ECO:0000269|PubMed:35074876}.	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]; one-carbon metabolic process [GO:0006730]	GO:0004089; GO:0006730; GO:0008270; GO:0016836
ACCH3_SOLLC	P10967	ACCH3_SOLLC	1-aminocyclopropane-1-carboxylate oxidase homolog (Protein E8)	ACO3	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	363			DEVELOPMENTAL STAGE: Expressed during fruit ripening.		2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; L-ascorbic acid binding [GO:0031418]; metal ion binding [GO:0046872]; coumarin biosynthetic process [GO:0009805]; ethylene biosynthetic process [GO:0009693]; fruit ripening [GO:0009835]; response to molecule of fungal origin [GO:0002238]	GO:0002238; GO:0009693; GO:0009805; GO:0009835; GO:0016706; GO:0031418; GO:0046872
OLEH1_SESIN	Q9FUJ9	OLEH1_SESIN	Oleosin H1 (Allergen Ses i 4) (Oleosin 17 kDa) (allergen Ses i 4.0101)		Sesamum indicum (Oriental sesame) (Sesamum orientale)	166	FUNCTION: May have a structural role to stabilize the lipid body during desiccation of the seed by preventing coalescence of the oil. Probably interacts with both lipid and phospholipid moieties of lipid bodies. May also provide recognition signals for specific lipase anchorage in lipolysis during seedling growth. {ECO:0000305}.		DEVELOPMENTAL STAGE: Expressed during seed maturation. Expressed in maturing seeds about 2 weeks after flowering. Expression continues steadily thereafter until it decreases in the seed-drying stage, reaching undetectable levels in mature seeds. {ECO:0000269|PubMed:12450125}.	TISSUE SPECIFICITY: Expressed in seeds (at protein level). {ECO:0000269|PubMed:12450125, ECO:0000269|PubMed:16436145}.	membrane [GO:0016020]; monolayer-surrounded lipid storage body [GO:0012511]; lipid droplet organization [GO:0034389]; lipid storage [GO:0019915]; seed maturation [GO:0010431]	GO:0010431; GO:0012511; GO:0016020; GO:0019915; GO:0034389
NIP21_ORYSJ	Q6Z2T3	NIP21_ORYSJ	Aquaporin NIP2-1 (Low silicon protein 1) (NOD26-like intrinsic protein 2-1) (OsNIP2;1) (Silicon influx transporter LSI1)	NIP2-1 LSI1 SIIT1 Os02g0745100 LOC_Os02g51110 OJ1118_G04.16 OJ1734_E02.43 OsJ_008085	Oryza sativa subsp. japonica (Rice)	298	FUNCTION: Silicon influx transporter responsible for silicon transport from the external solution to the root cells (PubMed:16572174). Is coupled with the silicon efflux transporter LSI2 in both exodermal and endodermal root cells for an efficient silicon transport across the cells into the stele (PubMed:17625566). Silicon is beneficial to plant growth and helps plants to overcome abiotic and biotic stresses by preventing lodging (falling over) and increasing resistance to pests and diseases, as well as other stresses (PubMed:16572174). Is coupled with LSI2 transporter in roots for efficient uptake of arsenite, which is further dispatched in shoots and grains (PubMed:18626020). Mediates uptake of methylated arsenic species in roots (PubMed:19542298). {ECO:0000269|PubMed:16572174, ECO:0000269|PubMed:17625566, ECO:0000269|PubMed:18626020, ECO:0000269|PubMed:19542298}.			TISSUE SPECIFICITY: Mainly expressed in the roots (PubMed:16033806, PubMed:16572174, PubMed:17905867). In roots, it localizes in the main and lateral roots, but not in root hairs (PubMed:16572174). Within a root, it localizes on the plasma membrane of the distal side of both exodermis and endodermis, where casparian strips exist (at protein level) (PubMed:16572174, PubMed:17905867). Expressed low levels in leaves and anthers (PubMed:16033806). {ECO:0000269|PubMed:16033806, ECO:0000269|PubMed:16572174, ECO:0000269|PubMed:17905867}.	Casparian strip [GO:0048226]; membrane [GO:0016020]; plasma membrane [GO:0005886]; channel activity [GO:0015267]; silicate transmembrane transporter activity [GO:0015115]; silicic acid import across plasma membrane [GO:0015708]	GO:0005886; GO:0015115; GO:0015267; GO:0015708; GO:0016020; GO:0048226
SAT_CATRO	A0A2P1GIW7	SAT_CATRO	Stemmadenine O-acetyltransferase (CrSAT) (EC 1.7.1.-)	SAT	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	421	FUNCTION: Component of iboga and aspidosperma monoterpenoid indole alkaloids (MIAs, e.g. tabersonine and catharanthine) biosynthesis pathway from 19E-geissoschizine. Acetyltransferase that catalyzes the formation of O-acetylstemmadenine from stemmadenine. {ECO:0000269|PubMed:29511102}.	PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:29511102}.		TISSUE SPECIFICITY: Expressed in leaf epidermis. {ECO:0000269|PubMed:30256480}.	acyltransferase activity [GO:0016746]; oxidoreductase activity [GO:0016491]; alkaloid metabolic process [GO:0009820]	GO:0009820; GO:0016491; GO:0016746
