"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"AT1G01550"," BPS1","AT1G01550",839536,"protein_coding","Arabidopsis thaliana","1",0.199527,"Protein BPS1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LMM6]",37.53,2,2248,1050,1572,69,199,2.5
"AT1G03870"," FLA9","AT1G03870",839384,"protein_coding","Arabidopsis thaliana","1",0.982381,"At1g03870 [Source:UniProtKB/TrEMBL;Acc:B3LF88]",42.53,1,1163,744,1164,175,243,1
"AT1G08090"," NRT2.1","AT1G08090",837327,"protein_coding","Arabidopsis thaliana","1",2.524023,"High-affinity nitrate transporter 2.1 [Source:UniProtKB/Swiss-Prot;Acc:O82811]",45.09,1,2299,1593,2111,115,401,3
"AT1G08465"," YAB2","AT1G08465",3766682,"protein_coding","Arabidopsis thaliana","1",2.675813,"Putative axial regulator YABBY 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9XFB0]",31.85,1,4011,555,1217,219,441,6
"AT1G08510"," FATB","AT1G08510",837372,"protein_coding","Arabidopsis thaliana","1",2.691062,"Palmitoyl-acyl carrier protein thioesterase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SJE2]",37.84,1,3485,1239,2241,258,483,6
"AT1G08630"," THA1","AT1G08630",837385,"protein_coding","Arabidopsis thaliana","1",2.743761,"Probable low-specificity L-threonine aldolase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXU4]",34.75,7,4206,1077,1404,73,186,10
"AT1G09070"," SRC2","AT1G09070",837428,"protein_coding","Arabidopsis thaliana","1",2.927502,"Protein SRC2 homolog [Source:UniProtKB/Swiss-Prot;Acc:O04023]",44.15,1,1605,975,1606,264,365,1
"AT1G09140"," SR30","AT1G09140",837433,"protein_coding","Arabidopsis thaliana","1",2.942538,"Serine/arginine-rich splicing factor SR30 [Source:UniProtKB/Swiss-Prot;Acc:Q9XFR5]",37.92,3,3438,771,1652,157,363,12
"AT1G09155"," PP2B15","AT1G09155",837435,"protein_coding","Arabidopsis thaliana","1",2.949621,"F-box protein PP2-B15 [Source:UniProtKB/Swiss-Prot;Acc:O80494]",38.79,1,1368,870,1227,146,209,3
"AT1G10200"," WLIM1","AT1G10200",837558,"protein_coding","Arabidopsis thaliana","1",3.346383,"WLIM1 [Source:UniProtKB/TrEMBL;Acc:A0A178W4R1]",35.4,2,1756,510,1331.5,530,289.5,4.5
